token	pos	chunk	NER	previous	following	capitals
.	.	O	O	said	Asked	NC
Asked	VBD	I-VP	O	.	about	C
about	IN	I-PP	O	Asked	reports	NC
reports	NNS	I-NP	O	about	Egypt	NC
Egypt	NNP	B-NP	LOC	reports	has	C
has	VBZ	I-VP	O	Egypt	set	NC
set	VBN	I-VP	O	has	new	NC
new	JJ	I-NP	O	set	levels	NC
levels	NNS	I-NP	O	new	for	NC
for	IN	I-PP	O	levels	a	NC
a	DT	I-NP	O	for	vomitoxin	NC
vomitoxin	NN	I-NP	O	a	in	NC
in	IN	I-PP	O	vomitoxin	its	NC
its	PRP$	I-NP	O	in	purchase	NC
purchase	NN	I-NP	O	its	of	NC
of	IN	I-PP	O	purchase	U.S.	NC
U.S.	NNP	I-NP	LOC	of	wheat	C
wheat	NN	I-NP	O	U.S.	,	NC
,	,	O	O	wheat	the	NC
the	DT	I-NP	O	,	secretary	NC
secretary	NN	I-NP	O	the	said	NC
said	VBD	I-VP	O	secretary	""""	NC
""""	""""	O	O	said	I	NC
I	PRP	I-NP	O	""""	do	C
do	VBP	I-VP	O	I	n't	NC
n't	RB	I-VP	O	do	know	NC
know	VB	I-VP	O	n't	anything	NC
anything	NN	I-NP	O	know	about	NC
about	IN	I-PP	O	anything	it	NC
it	PRP	I-NP	O	about	""""	NC
""""	""""	O	O	it	but	NC
but	CC	O	O	""""	added	NC
added	VBD	I-VP	O	but	that	NC
that	IN	I-SBAR	O	added	USDA	NC
USDA	JJ	I-NP	ORG	that	officials	C
officials	NNS	I-NP	O	USDA	were	NC
were	VBD	I-VP	O	officials	""""	NC
""""	""""	O	O	were	looking	NC
looking	VBG	I-VP	O	""""	at	NC
at	IN	I-PP	O	looking	it	NC
it	PRP	I-NP	O	at	.	NC
.	.	O	O	it	""""	NC
""""	""""	O	O	.	Mass	NC
Mass	NNP	I-NP	LOC	""""	.	C
.	.	O	O	Mass	governor	NC
governor	NN	I-NP	O	.	has	NC
has	VBZ	I-VP	O	governor	trouble	NC
trouble	NN	I-NP	O	has	winning	NC
winning	VBG	I-VP	O	trouble	home	NC
home	NN	I-ADVP	O	winning	support	NC
support	NN	I-NP	O	home	.	NC
.	.	O	O	support	BOSTON	NC
BOSTON	NNP	I-NP	LOC	.	1996-08-23	C
1996-08-23	CD	I-NP	O	BOSTON	The	NC
The	DT	I-NP	O	1996-08-23	12-year-old	C
12-year-old	JJ	I-NP	O	The	daughter	NC
daughter	NN	I-NP	O	12-year-old	of	NC
of	IN	I-PP	O	daughter	Republican	NC
Republican	NNP	I-NP	MISC	of	Gov	C
Gov	NNP	I-NP	O	Republican	.	C
.	.	O	O	Gov	William	NC
William	NNP	I-NP	PER	.	Weld	C
Weld	NNP	I-NP	PER	William	is	C
is	VBZ	I-VP	O	Weld	working	NC
working	VBG	I-VP	O	is	to	NC
to	TO	I-VP	O	working	stop	NC
stop	VB	I-VP	O	to	his	NC
his	PRP$	I-NP	O	stop	bid	NC
bid	NN	I-NP	O	his	to	NC
to	TO	I-VP	O	bid	win	NC
win	VB	I-VP	O	to	a	NC
a	DT	I-NP	O	win	U.S.	NC
U.S.	NNP	I-NP	LOC	a	Senate	C
Senate	NNP	I-NP	ORG	U.S.	seat	C
seat	NN	B-NP	O	Senate	because	NC
because	IN	I-SBAR	O	seat	she	NC
she	PRP	I-NP	O	because	does	NC
does	VBZ	I-VP	O	she	n't	NC
n't	RB	I-VP	O	does	want	NC
want	VB	I-VP	O	n't	to	NC
to	TO	I-VP	O	want	leave	NC
leave	VB	I-VP	O	to	Massachusetts	NC
Massachusetts	NNP	I-NP	LOC	leave	.	C
.	.	O	O	Massachusetts	Weld	NC
Weld	NNP	I-NP	PER	.	conceded	C
conceded	VBD	I-VP	O	Weld	his	NC
his	PRP$	I-NP	O	conceded	12-year-old	NC
12-year-old	JJ	I-NP	O	his	daughter	NC
daughter	NN	I-NP	O	12-year-old	,	NC
,	,	O	O	daughter	Franny	NC
Franny	NNP	I-NP	PER	,	,	C
,	,	O	O	Franny	is	NC
is	VBZ	I-VP	O	,	""""	NC
""""	""""	O	O	is	a	NC
a	DT	I-NP	O	""""	foot	NC
foot	NN	I-NP	O	a	soldier	NC
soldier	NN	I-NP	O	foot	""""	NC
""""	""""	O	O	soldier	for	NC
for	IN	I-PP	O	""""	Democratic	NC
Democratic	JJ	I-NP	MISC	for	incumbent	C
incumbent	JJ	I-NP	O	Democratic	Sen	NC
Sen	NNP	I-NP	O	incumbent	.	C
.	.	O	O	Sen	John	NC
John	NNP	I-NP	PER	.	Kerry	C
Kerry	NNP	I-NP	PER	John	,	C
,	,	O	O	Kerry	even	NC
even	RB	I-SBAR	O	,	though	NC
though	IN	I-SBAR	O	even	she	NC
she	PRP	I-NP	O	though	is	NC
is	VBZ	I-VP	O	she	n't	NC
n't	RB	O	O	is	old	NC
old	JJ	I-ADJP	O	n't	enough	NC
enough	RB	I-ADJP	O	old	to	NC
to	TO	I-VP	O	enough	vote	NC
vote	VB	I-VP	O	to	.	NC
.	.	O	O	vote	Weld	NC
Weld	NNP	I-NP	PER	.	,	C
,	,	O	O	Weld	speaking	NC
speaking	VBG	I-VP	O	,	on	NC
on	IN	I-PP	O	speaking	WBUR-FM	NC
WBUR-FM	NNP	I-NP	ORG	on	radio	C
radio	NN	I-NP	O	WBUR-FM	on	NC
on	IN	I-PP	O	radio	Thursday	NC
Thursday	NNP	I-NP	O	on	,	C
,	,	O	O	Thursday	said	NC
said	VBD	I-VP	O	,	he	NC
he	PRP	I-NP	O	said	was	NC
was	VBD	I-VP	O	he	facing	NC
facing	VBG	I-VP	O	was	a	NC
a	DT	I-NP	O	facing	revolt	NC
revolt	NN	I-NP	O	a	from	NC
from	IN	I-PP	O	revolt	his	NC
his	PRP$	I-NP	O	from	daughter	NC
daughter	NN	I-NP	O	his	in	NC
in	IN	I-PP	O	daughter	part	NC
part	NN	I-NP	O	in	because	NC
because	IN	I-SBAR	O	part	she	NC
she	PRP	I-NP	O	because	does	NC
does	VBZ	I-VP	O	she	not	NC
not	RB	I-VP	O	does	want	NC
want	VB	I-VP	O	not	to	NC
to	TO	I-VP	O	want	leave	NC
leave	VB	I-VP	O	to	Cambridge	NC
Cambridge	NNP	I-NP	LOC	leave	,	C
,	,	O	O	Cambridge	Massachusetts	NC
Massachusetts	NNP	I-NP	LOC	,	,	C
,	,	O	O	Massachusetts	and	NC
and	CC	O	O	,	move	NC
move	VB	I-VP	O	and	to	NC
to	TO	I-PP	O	move	Washington	NC
Washington	NNP	I-NP	LOC	to	.	C
.	.	O	O	Washington	He	NC
He	PRP	I-NP	O	.	also	C
also	RB	I-ADVP	O	He	said	NC
said	VBD	I-VP	O	also	Franny	NC
Franny	NNP	I-NP	PER	said	Weld	C
Weld	NNP	I-NP	PER	Franny	's	C
's	POS	B-NP	O	Weld	best	NC
best	JJS	I-NP	O	's	friend	NC
friend	NN	I-NP	O	best	,	NC
,	,	O	O	friend	Tracy	NC
Tracy	NNP	I-NP	PER	,	Roosevelt	C
Roosevelt	NNP	I-NP	PER	Tracy	,	C
,	,	O	O	Roosevelt	might	NC
might	MD	I-VP	O	,	have	NC
have	VB	I-VP	O	might	something	NC
something	NN	I-NP	O	have	to	NC
to	TO	I-VP	O	something	do	NC
do	VB	I-VP	O	to	with	NC
with	IN	I-PP	O	do	her	NC
her	PRP$	I-NP	O	with	politics	NC
politics	NNS	I-NP	O	her	.	NC
.	.	O	O	politics	Tracy	NC
Tracy	NNP	I-NP	PER	.	is	C
is	VBZ	I-VP	O	Tracy	the	NC
the	DT	I-NP	O	is	great-granddaughter	NC
great-granddaughter	NN	I-NP	O	the	of	NC
of	IN	I-PP	O	great-granddaughter	Democratic	NC
Democratic	JJ	I-NP	MISC	of	former	C
former	JJ	I-NP	O	Democratic	President	NC
President	NNP	I-NP	O	former	Franklin	C
Franklin	NNP	I-NP	LOC	President	Roosevelt	C
Roosevelt	NNP	I-NP	LOC	Franklin	,	C
,	,	O	O	Roosevelt	and	NC
and	CC	O	O	,	support	NC
support	NN	I-NP	O	and	for	NC
for	IN	I-PP	O	support	Democrats	NC
Democrats	NNP	I-NP	MISC	for	runs	C
runs	VBZ	I-VP	O	Democrats	in	NC
in	IN	I-PP	O	runs	the	NC
the	DT	I-NP	O	in	family	NC
family	NN	I-NP	O	the	.	NC
.	.	O	O	family	The	NC
The	DT	I-NP	O	.	Roosevelts	C
Roosevelts	NNP	I-NP	PER	The	are	C
are	VBP	I-VP	O	Roosevelts	good	NC
good	JJ	I-NP	O	are	friends	NC
friends	NNS	I-NP	O	good	of	NC
of	IN	I-PP	O	friends	Weld	NC
Weld	NNP	I-NP	PER	of	and	C
and	CC	O	O	Weld	his	NC
his	PRP$	I-NP	O	and	wife	NC
wife	NN	I-NP	O	his	,	NC
,	,	O	O	wife	Susan	NC
Susan	NNP	I-NP	PER	,	Roosevelt	C
Roosevelt	NNP	I-NP	PER	Susan	Weld	C
Weld	NNP	I-NP	PER	Roosevelt	,	C
,	,	O	O	Weld	a	NC
a	DT	I-NP	O	,	descendant	NC
descendant	NN	I-NP	O	a	of	NC
of	IN	I-PP	O	descendant	former	NC
former	JJ	I-NP	O	of	President	NC
President	NNP	I-NP	O	former	Theodore	C
Theodore	NNP	I-NP	PER	President	Roosevelt	C
Roosevelt	NNP	I-NP	PER	Theodore	,	C
,	,	O	O	Roosevelt	who	NC
who	WP	I-NP	O	,	won	NC
won	VBD	I-VP	O	who	the	NC
the	DT	I-NP	O	won	presidency	NC
presidency	NN	I-NP	O	the	as	NC
as	IN	I-PP	O	presidency	a	NC
a	DT	I-NP	O	as	Republican	NC
Republican	NNP	I-NP	MISC	a	.	C
.	.	O	O	Republican	Lufthansa	NC
Lufthansa	NNP	I-NP	ORG	.	cargo	C
cargo	NN	I-NP	O	Lufthansa	Q2	NC
Q2	CD	I-NP	O	cargo	load	C
load	NN	I-NP	O	Q2	factor	NC
factor	NN	I-NP	O	load	up	NC
up	IN	I-PP	O	factor	1.7	NC
1.7	CD	I-NP	O	up	pct	NC
pct	NN	I-NP	O	1.7	.	NC
.	.	O	O	pct	FRANKFURT	NC
FRANKFURT	NNP	I-NP	LOC	.	1996-08-23	C
1996-08-23	CD	I-NP	O	FRANKFURT	The	NC
The	DT	I-NP	O	1996-08-23	following	C
following	VBG	I-NP	O	The	table	NC
table	NN	I-NP	O	following	shows	NC
shows	VBZ	I-VP	O	table	Lufthansa	NC
Lufthansa	NNP	I-NP	ORG	shows	Cargo	C
Cargo	NNP	I-NP	ORG	Lufthansa	AG	C
AG	NNP	I-NP	ORG	Cargo	second	C
second	JJ	I-NP	O	AG	quarter	NC
quarter	NN	I-NP	O	second	1996	NC
1996	CD	B-NP	O	quarter	results	NC
results	NNS	I-NP	O	1996	,	NC
,	,	O	O	results	based	NC
based	VBN	I-PP	O	,	on	NC
on	IN	B-PP	O	based	figures	NC
figures	NNS	I-NP	O	on	published	NC
published	VBN	I-VP	O	figures	by	NC
by	IN	I-PP	O	published	Deutsche	NC
Deutsche	NNP	I-NP	ORG	by	Lufthansa	C
Lufthansa	NNP	I-NP	ORG	Deutsche	AG	C
AG	NNP	I-NP	ORG	Lufthansa	in-house	C
in-house	JJ	I-NP	O	AG	newspaper	NC
newspaper	NN	I-NP	O	in-house	Lufthanseat	NC
Lufthanseat	UH	I-INTJ	ORG	newspaper	.	C
.	.	O	O	Lufthanseat	Available	NC
Available	JJ	I-NP	O	.	freight-tonne	C
freight-tonne	NN	I-NP	O	Available	kilometres	NC
kilometres	NNS	I-NP	O	freight-tonne	(	NC
(	(	O	O	kilometres	million	NC
million	CD	I-NP	O	(	)	NC
)	)	O	O	million	2,389	NC
2,389	CD	I-NP	O	)	up	NC
up	RB	I-ADVP	O	2,389	4	NC
4	CD	I-NP	O	up	pct	NC
pct	NN	I-NP	O	4	Revenue	NC
Revenue	NN	I-NP	O	pct	freight-tonne	C
freight-tonne	NN	I-NP	O	Revenue	kilometres	NC
kilometres	NNS	I-NP	O	freight-tonne	(	NC
(	(	O	O	kilometres	million	NC
million	CD	I-NP	O	(	)	NC
)	)	O	O	million	1,600	NC
1,600	CD	I-NP	O	)	up	NC
up	RB	I-ADVP	O	1,600	7	NC
7	CD	I-NP	O	up	pct	NC
pct	NN	I-NP	O	7	Freight	NC
Freight	NN	I-NP	O	pct	load	C
load	NN	I-NP	O	Freight	factor	NC
factor	NN	I-NP	O	load	67.0	NC
67.0	CD	I-NP	O	factor	up	NC
up	RB	I-ADVP	O	67.0	1.7	NC
1.7	CD	I-NP	O	up	pct	NC
pct	JJ	I-NP	O	1.7	pts	NC
pts	NNS	I-NP	O	pct	Revenue	NC
Revenue	NN	I-NP	O	pts	from	C
from	IN	I-PP	O	Revenue	transport	NC
transport	NN	I-NP	O	from	(	NC
(	(	O	O	transport	Dm	NC
Dm	NNP	I-NP	MISC	(	million	C
million	CD	I-NP	O	Dm	)	NC
)	)	O	O	million	820	NC
820	CD	I-NP	O	)	up	NC
up	RB	I-ADVP	O	820	2	NC
2	CD	I-NP	O	up	pct	NC
pct	NN	I-NP	O	2	Revenue	NC
Revenue	NN	I-NP	O	pct	from	C
from	IN	I-PP	O	Revenue	other	NC
other	JJ	I-NP	O	from	services	NC
services	NNS	I-NP	O	other	(	NC
(	(	O	O	services	Dm	NC
Dm	NNP	I-NP	MISC	(	million	C
million	CD	I-NP	O	Dm	)	NC
)	)	O	O	million	14	NC
14	CD	I-NP	O	)	down	NC
down	IN	I-PP	O	14	26	NC
26	CD	I-NP	O	down	pct	NC
pct	NNS	I-NP	O	26	Staff	NC
Staff	NN	I-NP	O	pct	costs	C
costs	NNS	I-NP	O	Staff	(	NC
(	(	O	O	costs	Dm	NC
Dm	NNP	I-NP	MISC	(	million	C
million	CD	I-NP	O	Dm	)	NC
)	)	O	O	million	116	NC
116	CD	I-NP	O	)	up	NC
up	RB	I-ADVP	O	116	8	NC
8	CD	I-NP	O	up	pct	NC
pct	NN	I-NP	O	8	Fuel	NC
Fuel	NN	I-NP	O	pct	costs	C
costs	NNS	I-NP	O	Fuel	(	NC
(	(	O	O	costs	Dm	NC
Dm	NNP	I-NP	MISC	(	million	C
million	CD	I-NP	O	Dm	)	NC
)	)	O	O	million	69	NC
69	CD	I-NP	O	)	up	NC
up	RB	I-ADVP	O	69	20	NC
20	CD	I-NP	O	up	pct	NC
pct	NN	I-NP	O	20	Flight-related	NC
Flight-related	JJ	I-NP	O	pct	fees	C
fees	NNS	I-NP	O	Flight-related	(	NC
(	(	O	O	fees	Dm	NC
Dm	NNP	I-NP	MISC	(	million	C
million	CD	I-NP	O	Dm	)	NC
)	)	O	O	million	125	NC
125	CD	I-NP	O	)	up	NC
up	RB	I-ADVP	O	125	17	NC
17	CD	I-NP	O	up	pct	NC
pct	NN	I-NP	O	17	-	NC
-	:	O	O	pct	Air	NC
Air	NNP	I-NP	ORG	-	Cargo	C
Cargo	NNP	I-NP	ORG	Air	Newsroom	C
Newsroom	NNP	I-NP	ORG	Cargo	Tel+44	C
Tel+44	NNP	I-NP	O	Newsroom	171	C
171	CD	I-NP	O	Tel+44	542	NC
542	CD	I-NP	O	171	7706	NC
7706	CD	I-NP	O	542	Fax+44	NC
Fax+44	NN	I-NP	O	7706	171	C
171	CD	I-NP	O	Fax+44	542	NC
542	CD	I-NP	O	171	5017	NC
5017	CD	I-NP	O	542	WSC-India	NC
WSC-India	NNP	I-NP	ORG	5017	Rice	C
Rice	NNP	I-NP	O	WSC-India	Weather	C
Weather	NNP	I-NP	O	Rice	,	C
,	,	O	O	Weather	Aug	NC
Aug	NNP	I-NP	O	,	23	C
23	CD	I-NP	O	Aug	.	NC
.	.	O	O	23	SUMMARY-	NC
SUMMARY-	NNP	I-NP	O	.	Showers	C
Showers	NNP	I-NP	O	SUMMARY-	0.25-1.30	C
0.25-1.30	CD	I-NP	O	Showers	inch	NC
inch	NN	I-NP	O	0.25-1.30	(	NC
(	(	O	O	inch	6-33	NC
6-33	CD	I-NP	O	(	mm	NC
mm	NN	I-NP	O	6-33	)	NC
)	)	O	O	mm	and	NC
and	CC	O	O	)	locally	NC
locally	RB	I-ADVP	O	and	heavier	NC
heavier	JJR	I-NP	O	locally	through	NC
through	IN	I-PP	O	heavier	much	NC
much	JJ	I-NP	O	through	of	NC
of	IN	I-PP	O	much	India	NC
India	NNP	I-NP	LOC	of	,	C
,	,	O	O	India	75	NC
75	CD	I-NP	O	,	percent	NC
percent	NN	I-NP	O	75	coverage	NC
coverage	NN	I-NP	O	percent	.	NC
.	.	O	O	coverage	Isolated	NC
Isolated	VBN	I-NP	O	.	showers	C
showers	NNS	I-NP	O	Isolated	0.20-0.70	NC
0.20-0.70	JJ	I-NP	O	showers	inch	NC
inch	NN	I-NP	O	0.20-0.70	(	NC
(	(	O	O	inch	5-18	NC
5-18	CD	I-NP	O	(	mm	NC
mm	NN	I-NP	O	5-18	)	NC
)	)	O	O	mm	in	NC
in	IN	I-PP	O	)	the	NC
the	DT	I-NP	O	in	north	NC
north	NN	I-NP	O	the	.	NC
.	.	O	O	north	Highs	NC
Highs	NNS	I-NP	O	.	82-96F	C
82-96F	CD	I-ADVP	O	Highs	(	NC
(	(	O	O	82-96F	28-36C	NC
28-36C	CD	I-NP	O	(	)	NC
)	)	O	O	28-36C	.	NC
.	.	O	O	)	CROP	NC
CROP	NNP	I-NP	O	.	IMPACT-	C
IMPACT-	NNP	I-NP	O	CROP	Conditions	C
Conditions	NNPS	I-NP	O	IMPACT-	remain	C
remain	VBP	I-VP	O	Conditions	favorable	NC
favorable	JJ	I-ADJP	O	remain	for	NC
for	IN	I-PP	O	favorable	the	NC
the	DT	I-NP	O	for	development	NC
development	NN	I-NP	O	the	of	NC
of	IN	I-PP	O	development	rice	NC
rice	NN	I-NP	O	of	in	NC
in	IN	I-PP	O	rice	the	NC
the	DT	I-NP	O	in	region	NC
region	NN	I-NP	O	the	.	NC
.	.	O	O	region	FORECAST-	NC
FORECAST-	NNP	I-NP	O	.	TODAY	C
TODAY	NNP	I-NP	O	FORECAST-	...	C
...	:	O	O	TODAY	Showers	NC
Showers	NN	I-NP	O	...	and	C
and	CC	I-NP	O	Showers	rain	NC
rain	NN	I-NP	O	and	0.25-1.00	NC
0.25-1.00	CD	I-NP	O	rain	inch	NC
inch	NN	I-NP	O	0.25-1.00	(	NC
(	(	O	O	inch	6-25	NC
6-25	CD	I-NP	O	(	mm	NC
mm	NN	I-NP	O	6-25	)	NC
)	)	O	O	mm	and	NC
and	CC	O	O	)	locally	NC
locally	RB	I-ADVP	O	and	heavier	NC
heavier	JJR	I-NP	O	locally	through	NC
through	IN	I-PP	O	heavier	most	NC
most	JJS	I-NP	O	through	of	NC
of	IN	I-PP	O	most	central	NC
central	JJ	I-NP	O	of	and	NC
and	CC	I-NP	O	central	south	NC
south	RB	I-ADVP	O	and	central	NC
central	DT	I-NP	O	south	India	NC
India	NNP	I-NP	LOC	central	,	C
,	,	O	O	India	up	NC
up	IN	I-NP	O	,	to	NC
to	TO	I-NP	O	up	0.75	NC
0.75	CD	I-NP	O	to	inch	NC
inch	NN	I-NP	O	0.75	(	NC
(	(	O	O	inch	19	NC
19	CD	I-NP	O	(	mm	NC
mm	NN	I-NP	O	19	)	NC
)	)	O	O	mm	in	NC
in	IN	I-PP	O	)	75	NC
75	CD	I-NP	O	in	percent	NC
percent	NN	I-NP	O	75	of	NC
of	IN	I-PP	O	percent	north	NC
north	JJ	I-NP	O	of	central	NC
central	JJ	I-NP	O	north	India	NC
India	NNP	I-NP	LOC	central	,	C
,	,	O	O	India	and	NC
and	CC	O	O	,	only	NC
only	RB	I-ADVP	O	and	isolated	NC
isolated	VBN	I-NP	O	only	up	NC
up	RB	I-NP	O	isolated	to	NC
to	TO	I-NP	O	up	0.50	NC
0.50	CD	I-NP	O	to	inch	NC
inch	NN	I-NP	O	0.50	(	NC
(	(	O	O	inch	13	NC
13	CD	I-NP	O	(	mm	NC
mm	NN	I-NP	O	13	)	NC
)	)	O	O	mm	elsewhere	NC
elsewhere	RB	I-ADVP	O	)	over	NC
over	IN	I-PP	O	elsewhere	India	NC
India	NNP	I-NP	LOC	over	.	C
.	.	O	O	India	Highs	NC
Highs	NNS	I-NP	O	.	82-96F	C
82-96F	CD	I-ADVP	O	Highs	(	NC
(	(	O	O	82-96F	28-36C	NC
28-36C	CD	I-NP	O	(	)	NC
)	)	O	O	28-36C	.	NC
.	.	O	O	)	TONIGHT	NC
TONIGHT	NNP	I-NP	O	.	...	C
...	:	O	O	TONIGHT	Variable	NC
Variable	JJ	I-NP	O	...	clouds	C
clouds	NNS	I-NP	O	Variable	in	NC
in	IN	I-PP	O	clouds	southern	NC
southern	JJ	I-NP	O	in	India	NC
India	NNP	I-NP	LOC	southern	with	C
with	IN	I-PP	O	India	showers	NC
showers	NNS	I-NP	O	with	.	NC
.	.	O	O	showers	Partly	NC
Partly	RB	I-ADVP	O	.	cloudy	C
cloudy	RB	B-ADVP	O	Partly	in	NC
in	IN	I-PP	O	cloudy	northern	NC
northern	JJ	I-NP	O	in	India	NC
India	NNP	I-NP	LOC	northern	with	C
with	IN	I-PP	O	India	a	NC
a	DT	I-NP	O	with	few	NC
few	JJ	I-NP	O	a	light	NC
light	NN	I-NP	O	few	showers	NC
showers	NNS	I-NP	O	light	.	NC
.	.	O	O	showers	Lows	NC
Lows	NNP	I-NP	O	.	68-76F	C
68-76F	CD	I-NP	O	Lows	(	NC
(	(	O	O	68-76F	20-24C	NC
20-24C	CD	I-NP	O	(	)	NC
)	)	O	O	20-24C	.	NC
.	.	O	O	)	TOMORROW	NC
TOMORROW	NNP	I-NP	O	.	...	C
...	:	O	O	TOMORROW	Little	NC
Little	JJ	I-NP	PER	...	change	C
change	NN	I-NP	O	Little	from	NC
from	IN	I-PP	O	change	today	NC
today	NN	I-NP	O	from	's	NC
's	POS	B-NP	O	today	weather	NC
weather	NN	I-NP	O	's	expected	NC
expected	VBN	I-VP	O	weather	.	NC
.	.	O	O	expected	OUTLOOK	NC
OUTLOOK	NNP	I-NP	O	.	...	C
...	:	O	O	OUTLOOK	Numerous	NC
Numerous	JJ	I-NP	O	...	to	C
to	TO	I-VP	O	Numerous	scattered	NC
scattered	VBN	I-VP	O	to	showers	NC
showers	NNS	I-NP	O	scattered	and	NC
and	CC	O	O	showers	thunderstorms	NC
thunderstorms	VBZ	I-VP	O	and	in	NC
in	IN	I-PP	O	thunderstorms	southern	NC
southern	JJ	I-NP	O	in	and	NC
and	CC	I-NP	O	southern	central	NC
central	JJ	I-NP	O	and	India	NC
India	NNP	I-NP	LOC	central	,	C
,	,	O	O	India	and	NC
and	CC	O	O	,	isolated	NC
isolated	VBN	I-NP	O	and	showers	NC
showers	NNS	I-NP	O	isolated	to	NC
to	TO	I-PP	O	showers	the	NC
the	DT	I-NP	O	to	north	NC
north	NN	I-NP	O	the	Sunday	NC
Sunday	NNP	B-NP	O	north	through	C
through	IN	I-PP	O	Sunday	Tuesday	NC
Tuesday	NNP	I-NP	O	through	.	C
.	.	O	O	Tuesday	Temperatures	NC
Temperatures	NNS	I-NP	O	.	near	C
near	IN	I-PP	O	Temperatures	normal	NC
normal	JJ	I-ADJP	O	near	.	NC
.	.	O	O	normal	Source	NC
Source	NN	I-NP	O	.	:	C
:	:	O	O	Source	Weather	NC
Weather	NNP	I-NP	ORG	:	Services	C
Services	NNPS	I-NP	ORG	Weather	Corporation	C
Corporation	NNP	I-NP	ORG	Services	Washington	C
Washington	NN	I-NP	LOC	Corporation	to	C
to	TO	I-VP	O	Washington	curb	NC
curb	VB	I-VP	O	to	Tamil	NC
Tamil	NNP	I-NP	MISC	curb	support	C
support	NN	I-NP	O	Tamil	in	NC
in	IN	I-PP	O	support	U.S.	NC
U.S.	NNP	I-NP	LOC	in	-	C
-	:	O	O	U.S.	Sri	NC
Sri	NNP	I-NP	LOC	-	Lanka	C
Lanka	NNP	I-NP	LOC	Sri	.	C
.	.	O	O	Lanka	COLOMBO	NC
COLOMBO	NNP	I-NP	LOC	.	1996-08-23	C
1996-08-23	CD	I-NP	O	COLOMBO	Sri	NC
Sri	NNP	I-NP	LOC	1996-08-23	Lanka	C
Lanka	NNP	I-NP	LOC	Sri	said	C
said	VBD	I-VP	O	Lanka	on	NC
on	IN	I-PP	O	said	Friday	NC
Friday	NNP	I-NP	O	on	the	C
the	DT	B-NP	O	Friday	United	NC
United	NNP	I-NP	LOC	the	States	C
States	NNP	I-NP	LOC	United	had	C
