token	pos	chunk	NER	previous	following	capitals
50	CD	I-NP	O	at	contracts	NC
contracts	NNS	I-NP	O	50	,	NC
,	,	O	O	contracts	down	NC
down	RB	I-ADVP	O	,	from	NC
from	IN	I-PP	O	down	56	NC
56	CD	I-NP	O	from	Friday	NC
Friday	NNP	B-NP	O	56	.	C
.	.	O	O	Friday	Rice	NC
Rice	NNP	I-NP	O	.	futures	C
futures	NNS	I-NP	O	Rice	closed	NC
closed	VBD	I-VP	O	futures	13	NC
13	CD	I-NP	O	closed	to	NC
to	TO	I-NP	O	13	16	NC
16	CD	I-NP	O	to	cents	NC
cents	NNS	I-NP	O	16	per	NC
per	IN	I-PP	O	cents	cwt	NC
cwt	JJ	I-NP	O	per	higher	NC
higher	JJR	I-NP	O	cwt	,	NC
,	,	I-NP	O	higher	with	NC
with	IN	I-PP	O	,	September	NC
September	NNP	I-NP	O	with	up	C
up	RB	I-ADVP	O	September	16	NC
16	CD	I-NP	O	up	at	NC
at	IN	I-PP	O	16	$	NC
$	$	I-NP	O	at	10.28	NC
10.28	CD	I-NP	O	$	a	NC
a	DT	B-NP	O	10.28	cwt	NC
cwt	NN	I-NP	O	a	.	NC
.	.	O	O	cwt	Sam	NC
Sam	NNP	I-NP	PER	.	Nelson	C
Nelson	NNP	I-NP	PER	Sam	312-408-8721	C
312-408-8721	NNP	I-NP	O	Nelson	Talbott	NC
Talbott	VB	I-VP	PER	312-408-8721	to	C
to	TO	I-VP	O	Talbott	meet	NC
meet	VB	I-VP	O	to	Russian	NC
Russian	JJ	I-NP	MISC	meet	,	C
,	,	I-NP	O	Russian	Canadian	NC
Canadian	JJ	I-NP	MISC	,	counterparts	C
counterparts	NNS	I-NP	O	Canadian	.	NC
.	.	O	O	counterparts	WASHINGTON	NC
WASHINGTON	NNP	I-NP	LOC	.	1996-08-26	C
1996-08-26	CD	I-NP	O	WASHINGTON	Deputy	NC
Deputy	NNP	I-NP	O	1996-08-26	Secretary	C
Secretary	NNP	I-NP	O	Deputy	of	C
of	IN	I-PP	O	Secretary	State	NC
State	NNP	I-NP	O	of	Strobe	C
Strobe	NNP	I-NP	PER	State	Talbott	C
Talbott	NNP	I-NP	PER	Strobe	flew	C
flew	VBD	I-VP	O	Talbott	to	NC
to	TO	I-PP	O	flew	Ottawa	NC
Ottawa	NNP	I-NP	LOC	to	on	C
on	IN	I-PP	O	Ottawa	Monday	NC
Monday	NNP	I-NP	O	on	to	C
to	TO	I-VP	O	Monday	meet	NC
meet	VB	I-VP	O	to	his	NC
his	PRP$	I-NP	O	meet	Russian	NC
Russian	JJ	I-NP	MISC	his	counterpart	C
counterpart	NN	I-NP	O	Russian	and	NC
and	CC	O	O	counterpart	discuss	NC
discuss	VB	I-VP	O	and	a	NC
a	DT	I-NP	O	discuss	range	NC
range	NN	I-NP	O	a	of	NC
of	IN	I-PP	O	range	bilateral	NC
bilateral	JJ	I-NP	O	of	and	NC
and	CC	I-NP	O	bilateral	European	NC
European	JJ	I-NP	MISC	and	security	C
security	NN	I-NP	O	European	issues	NC
issues	NNS	I-NP	O	security	,	NC
,	,	O	O	issues	the	NC
the	DT	I-NP	O	,	State	NC
State	NNP	I-NP	ORG	the	Department	C
Department	NNP	I-NP	ORG	State	said	C
said	VBD	I-VP	O	Department	.	NC
.	.	O	O	said	Talbott	NC
Talbott	RB	I-NP	PER	.	,	C
,	,	O	O	Talbott	the	NC
the	DT	I-NP	O	,	second-ranking	NC
second-ranking	JJ	I-NP	O	the	State	NC
State	NNP	I-NP	ORG	second-ranking	Department	C
Department	NNP	I-NP	ORG	State	official	C
official	NN	I-NP	O	Department	,	NC
,	,	O	O	official	was	NC
was	VBD	I-VP	O	,	to	NC
to	TO	B-VP	O	was	meet	NC
meet	VB	I-VP	O	to	Russian	NC
Russian	NNP	I-NP	MISC	meet	Deputy	C
Deputy	NNP	I-NP	O	Russian	Foreign	C
Foreign	NNP	I-NP	O	Deputy	Minister	C
Minister	NNP	I-NP	O	Foreign	Georgy	C
Georgy	NNP	I-NP	PER	Minister	Mamedov	C
Mamedov	NNP	I-NP	PER	Georgy	as	C
as	IN	I-PP	O	Mamedov	part	NC
part	NN	I-NP	O	as	of	NC
of	IN	I-PP	O	part	a	NC
a	DT	I-NP	O	of	regular	NC
regular	JJ	I-NP	O	a	pattern	NC
pattern	NN	I-NP	O	regular	of	NC
of	IN	I-PP	O	pattern	consultations	NC
consultations	NNS	I-NP	O	of	,	NC
,	,	O	O	consultations	the	NC
the	DT	I-NP	O	,	department	NC
department	NN	I-NP	O	the	said	NC
said	VBD	I-VP	O	department	.	NC
.	.	O	O	said	""""	NC
""""	""""	O	O	.	There	NC
There	EX	I-NP	O	""""	is	C
is	VBZ	I-VP	O	There	much	NC
much	JJ	I-NP	O	is	to	NC
to	TO	I-VP	O	much	discuss	NC
discuss	VB	I-VP	O	to	on	NC
on	IN	I-PP	O	discuss	the	NC
the	DT	I-NP	O	on	fall	NC
fall	NN	I-NP	O	the	calendar	NC
calendar	NN	I-NP	O	fall	,	NC
,	,	O	O	calendar	""""	NC
""""	""""	O	O	,	acting	NC
acting	VBG	I-VP	O	""""	chief	NC
chief	JJ	I-NP	O	acting	spokesman	NC
spokesman	NN	I-NP	O	chief	Glyn	NC
Glyn	NNP	B-NP	PER	spokesman	Davies	C
Davies	NNP	I-NP	PER	Glyn	said	C
said	VBD	I-VP	O	Davies	.	NC
.	.	O	O	said	""""	NC
""""	""""	O	O	.	There	NC
There	EX	I-NP	O	""""	's	C
's	VBZ	I-VP	O	There	a	NC
a	DT	I-NP	O	's	fairly	NC
fairly	RB	I-NP	O	a	intensive	NC
intensive	JJ	I-NP	O	fairly	diplomatic	NC
diplomatic	JJ	I-NP	O	intensive	calendar	NC
calendar	NN	I-NP	O	diplomatic	coming	NC
coming	VBG	I-VP	O	calendar	up	NC
up	RP	I-PRT	O	coming	in	NC
in	IN	I-PP	O	up	the	NC
the	DT	I-NP	O	in	fall	NC
fall	NN	I-NP	O	the	.	NC
.	.	O	O	fall	""""	NC
""""	""""	O	O	.	He	NC
He	PRP	I-NP	O	""""	said	C
said	VBD	I-VP	O	He	Talbott	NC
Talbott	NNP	I-NP	PER	said	,	C
,	,	O	O	Talbott	who	NC
who	WP	I-NP	O	,	was	NC
was	VBD	I-VP	O	who	scheduled	NC
scheduled	VBN	I-VP	O	was	to	NC
to	TO	I-VP	O	scheduled	return	NC
return	VB	I-VP	O	to	on	NC
on	IN	I-PP	O	return	Tuesday	NC
Tuesday	NNP	I-NP	O	on	,	C
,	,	O	O	Tuesday	would	NC
would	MD	I-VP	O	,	also	NC
also	RB	I-VP	O	would	to	NC
to	TO	I-VP	O	also	meet	NC
meet	VB	I-VP	O	to	his	NC
his	PRP$	I-NP	O	meet	Canadian	NC
Canadian	JJ	I-NP	MISC	his	counterpart	C
counterpart	NN	I-NP	O	Canadian	,	NC
,	,	O	O	counterpart	Gordon	NC
Gordon	NNP	I-NP	PER	,	Smith	C
Smith	NNP	I-NP	PER	Gordon	,	C
,	,	O	O	Smith	in	NC
in	IN	I-PP	O	,	Ottawa	NC
Ottawa	NNP	I-NP	LOC	in	for	C
for	IN	I-PP	O	Ottawa	talks	NC
talks	NNS	I-NP	O	for	that	NC
that	WDT	B-NP	O	talks	would	NC
would	MD	I-VP	O	that	include	NC
include	VB	I-VP	O	would	the	NC
the	DT	I-NP	O	include	situation	NC
situation	NN	I-NP	O	the	in	NC
in	IN	I-PP	O	situation	Haiti	NC
Haiti	NNP	I-NP	LOC	in	.	C
.	.	O	O	Haiti	U.S.	NC
U.S.	NNP	I-NP	LOC	.	Midwest	C
Midwest	NNP	I-NP	LOC	U.S.	hog	C
hog	NN	I-NP	O	Midwest	market	NC
market	NN	I-NP	O	hog	seen	NC
seen	VBN	I-VP	O	market	steady	NC
steady	JJ	I-ADJP	O	seen	Tuesday	NC
Tuesday	NNP	I-NP	O	steady	-	C
-	:	O	O	Tuesday	trade	NC
trade	VB	I-VP	O	-	.	NC
.	.	O	O	trade	CHICAGO	NC
CHICAGO	NNP	I-NP	LOC	.	1996-08-26	C
1996-08-26	CD	I-NP	O	CHICAGO	Midwest	NC
Midwest	NNP	I-NP	LOC	1996-08-26	direct	C
direct	JJ	I-NP	O	Midwest	cash	NC
cash	NN	I-NP	O	direct	hog	NC
hog	NN	I-NP	O	cash	prices	NC
prices	NNS	I-NP	O	hog	Tuesday	NC
Tuesday	NNP	B-NP	O	prices	were	C
were	VBD	I-VP	O	Tuesday	seen	NC
seen	VBN	I-VP	O	were	steady	NC
steady	JJ	I-ADJP	O	seen	following	NC
following	VBG	I-PP	O	steady	strong	NC
strong	JJ	I-NP	O	following	demand	NC
demand	NN	I-NP	O	strong	Monday	NC
Monday	NNP	B-NP	O	demand	that	C
that	IN	I-SBAR	O	Monday	lifted	NC
lifted	VBN	I-NP	O	that	prices	NC
prices	NNS	I-NP	O	lifted	as	NC
as	RB	I-ADVP	O	prices	much	NC
much	RB	I-ADVP	O	as	as	NC
as	IN	I-PP	O	much	$	NC
$	$	I-NP	O	as	1.50	NC
1.50	CD	I-NP	O	$	per	NC
per	IN	I-PP	O	1.50	cwt	NC
cwt	NN	I-NP	O	per	in	NC
in	IN	I-PP	O	cwt	some	NC
some	DT	I-NP	O	in	areas	NC
areas	NNS	I-NP	O	some	,	NC
,	,	O	O	areas	livestock	NC
livestock	NN	I-NP	O	,	dealers	NC
dealers	NNS	I-NP	O	livestock	said	NC
said	VBD	I-VP	O	dealers	.	NC
.	.	O	O	said	The	NC
The	DT	I-NP	O	.	demand	C
demand	NN	I-NP	O	The	was	NC
was	VBD	I-VP	O	demand	sparked	NC
sparked	VBN	I-VP	O	was	by	NC
by	IN	I-PP	O	sparked	Saturday	NC
Saturday	NNP	I-NP	O	by	's	C
's	POS	B-NP	O	Saturday	active	NC
active	JJ	I-NP	O	's	slaughter	NC
slaughter	NN	I-NP	O	active	,	NC
,	,	O	O	slaughter	which	NC
which	WDT	I-NP	O	,	left	NC
left	VBD	I-VP	O	which	some	NC
some	DT	I-NP	O	left	packers	NC
packers	NNS	I-NP	O	some	short	NC
short	JJ	I-ADJP	O	packers	on	NC
on	IN	I-PP	O	short	supplies	NC
supplies	NNS	I-NP	O	on	to	NC
to	TO	I-VP	O	supplies	get	NC
get	VB	I-VP	O	to	Monday	NC
Monday	NNP	I-NP	O	get	operations	C
operations	NNS	I-NP	O	Monday	started	NC
started	VBD	I-VP	O	operations	,	NC
,	,	O	O	started	they	NC
they	PRP	I-NP	O	,	said	NC
said	VBD	I-VP	O	they	.	NC
.	.	O	O	said	Top	NC
Top	JJ	I-NP	O	.	prices	C
prices	NNS	I-NP	O	Top	in	NC
in	IN	I-PP	O	prices	Iowa	NC
Iowa	NNP	I-NP	LOC	in	/	C
/	SYM	O	O	Iowa	southern	NC
southern	JJ	I-NP	O	/	Minnesota	NC
Minnesota	NNP	I-NP	LOC	southern	Tuesday	C
Tuesday	NNP	I-NP	O	Minnesota	were	C
were	VBD	I-VP	O	Tuesday	expected	NC
expected	VBN	I-VP	O	were	to	NC
to	TO	I-VP	O	expected	range	NC
range	VB	I-VP	O	to	from	NC
from	IN	I-PP	O	range	mostly	NC
mostly	RB	I-NP	O	from	$	NC
$	$	I-NP	O	mostly	59.50	NC
59.50	CD	I-NP	O	$	to	NC
to	TO	I-NP	O	59.50	$	NC
$	$	I-NP	O	to	60.00	NC
60.00	CD	I-NP	O	$	,	NC
,	,	O	O	60.00	steady	NC
steady	JJ	I-ADJP	O	,	following	NC
following	VBG	I-PP	O	steady	a	NC
a	DT	I-NP	O	following	$	NC
$	$	I-NP	O	a	0.50	NC
0.50	CD	I-NP	O	$	-	NC
-	:	I-NP	O	0.50	$	NC
$	$	I-NP	O	-	1.50	NC
1.50	CD	I-NP	O	$	jump	NC
jump	NN	I-NP	O	1.50	Monday	NC
Monday	NNP	I-NP	O	jump	.	C
.	.	O	O	Monday	Illinois	NC
Illinois	NNP	I-NP	LOC	.	tops	C
tops	NNS	I-NP	O	Illinois	were	NC
were	VBD	I-VP	O	tops	seen	NC
seen	VBN	I-VP	O	were	matching	NC
matching	JJ	I-NP	O	seen	Monday	NC
Monday	NNP	I-NP	O	matching	's	C
's	POS	I-NP	O	Monday	at	NC
at	IN	I-PP	O	's	$	NC
$	$	I-NP	O	at	59.00	NC
59.00	CD	I-NP	O	$	with	NC
with	IN	I-PP	O	59.00	tops	NC
tops	NNS	I-NP	O	with	in	NC
in	IN	I-PP	O	tops	Indiana	NC
Indiana	NNP	I-NP	LOC	in	at	C
at	IN	I-PP	O	Indiana	$	NC
$	$	I-NP	O	at	57.50	NC
57.50	CD	I-NP	O	$	.	NC
.	.	O	O	57.50	However	NC
However	RB	I-ADVP	O	.	,	C
,	,	O	O	However	USDA	NC
USDA	NNP	I-NP	ORG	,	reported	C
reported	VBD	I-VP	O	USDA	tops	NC
tops	NNS	I-NP	O	reported	of	NC
of	IN	I-PP	O	tops	$	NC
$	$	I-NP	O	of	58.00	NC
58.00	CD	I-NP	O	$	in	NC
in	IN	I-PP	O	58.00	Illinois	NC
Illinois	NNP	I-NP	LOC	in	and	C
and	CC	O	O	Illinois	in	NC
in	IN	I-PP	O	and	Iowa	NC
Iowa	NNP	I-NP	LOC	in	/	C
/	SYM	O	O	Iowa	southern	NC
southern	JJ	I-NP	O	/	Minnesota	NC
Minnesota	NNP	I-NP	LOC	southern	,	C
,	,	O	O	Minnesota	$	NC
$	$	I-NP	O	,	60.00	NC
60.00	CD	I-NP	O	$	on	NC
on	IN	I-PP	O	60.00	some	NC
some	DT	I-NP	O	on	hogs	NC
hogs	NNS	I-NP	O	some	Monday	NC
Monday	NNP	B-NP	O	hogs	.	C
.	.	O	O	Monday	Attempts	NC
Attempts	NNS	I-NP	O	.	to	C
to	TO	I-VP	O	Attempts	move	NC
move	VB	I-VP	O	to	prices	NC
prices	NNS	I-NP	O	move	higher	NC
higher	JJR	B-NP	O	prices	again	NC
again	RB	I-ADVP	O	higher	Tuesday	NC
Tuesday	NNP	I-NP	O	again	could	C
could	MD	I-VP	O	Tuesday	be	NC
be	VB	I-VP	O	could	offset	NC
offset	VBN	I-VP	O	be	by	NC
by	IN	I-PP	O	offset	expected	NC
expected	JJ	I-NP	O	by	increased	NC
increased	VBN	I-NP	O	expected	hog	NC
hog	NN	I-NP	O	increased	marketings	NC
marketings	VBZ	I-VP	O	hog	this	NC
this	DT	I-NP	O	marketings	week	NC
week	NN	I-NP	O	this	,	NC
,	,	O	O	week	sources	NC
sources	NNS	I-NP	O	,	said	NC
said	VBD	I-VP	O	sources	.	NC
.	.	O	O	said	Producers	NC
Producers	NNS	I-NP	O	.	were	C
were	VBD	I-VP	O	Producers	expected	NC
expected	VBN	I-VP	O	were	to	NC
to	TO	I-VP	O	expected	ship	NC
ship	VB	I-VP	O	to	as	NC
as	IN	I-SBAR	O	ship	many	NC
many	JJ	I-NP	O	as	hogs	NC
hogs	NNS	I-NP	O	many	as	NC
as	IN	I-SBAR	O	hogs	they	NC
they	PRP	I-NP	O	as	can	NC
can	MD	I-VP	O	they	ahead	NC
ahead	RB	I-VP	O	can	of	NC
of	IN	I-PP	O	ahead	the	NC
the	DT	I-NP	O	of	Labor	NC
Labor	NNP	I-NP	MISC	the	Day	C
Day	NNP	I-NP	MISC	Labor	holiday	C
holiday	NN	I-NP	O	Day	weekend	NC
weekend	NN	I-NP	O	holiday	,	NC
,	,	O	O	weekend	they	NC
they	PRP	I-NP	O	,	said	NC
said	VBD	I-VP	O	they	.	NC
.	.	O	O	said	Demand	NC
Demand	NN	I-NP	O	.	for	C
for	IN	I-PP	O	Demand	hogs	NC
hogs	NNS	I-NP	O	for	is	NC
is	VBZ	I-VP	O	hogs	expected	NC
expected	VBN	I-VP	O	is	to	NC
to	TO	I-VP	O	expected	be	NC
be	VB	I-VP	O	to	light	NC
light	JJ	I-NP	O	be	by	NC
by	IN	I-PP	O	light	the	NC
the	DT	I-NP	O	by	end	NC
end	NN	I-NP	O	the	of	NC
of	IN	I-PP	O	end	the	NC
the	DT	I-NP	O	of	week	NC
week	NN	I-NP	O	the	,	NC
,	,	O	O	week	as	NC
as	IN	I-SBAR	O	,	the	NC
the	DT	I-NP	O	as	industry	NC
industry	NN	I-NP	O	the	prepares	NC
prepares	VBZ	I-VP	O	industry	for	NC
for	IN	I-PP	O	prepares	Labor	NC
Labor	NNP	I-NP	MISC	for	Day	C
Day	NNP	I-NP	MISC	Labor	,	C
,	,	O	O	Day	Monday	NC
Monday	NNP	I-NP	O	,	,	C
,	,	O	O	Monday	September	NC
September	NNP	I-NP	O	,	1	C
1	CD	I-NP	O	September	when	NC
when	WRB	I-ADVP	O	1	most	NC
most	JJS	I-NP	O	when	U.S.	NC
U.S.	NNP	I-NP	LOC	most	packers	C
packers	NNS	I-NP	O	U.S.	will	NC
will	MD	I-VP	O	packers	be	NC
be	VB	I-VP	O	will	closed	NC
closed	VBN	I-VP	O	be	.	NC
.	.	O	O	closed	--	NC
--	:	I-NP	O	.	Bob	NC
Bob	NNP	I-NP	PER	--	Janis	C
Janis	NNP	I-NP	PER	Bob	312-983-7347--	C
312-983-7347--	CD	I-NP	O	Janis	Gore	NC
Gore	NNP	I-NP	PER	312-983-7347--	presents	C
presents	VBZ	I-VP	O	Gore	new	NC
new	JJ	I-NP	O	presents	image	NC
image	NN	I-NP	O	new	of	NC
of	IN	I-PP	O	image	lead	NC
lead	NN	I-NP	O	of	attack	NC
attack	NN	I-NP	O	lead	dog	NC
dog	NN	I-NP	O	attack	.	NC
.	.	O	O	dog	Michael	NC
Michael	NNP	I-NP	PER	.	Posner	C
Posner	NNP	I-NP	PER	Michael	CHICAGO	C
CHICAGO	NNP	I-NP	LOC	Posner	1996-08-26	C
1996-08-26	CD	I-NP	O	CHICAGO	No	NC
No	DT	I-ADVP	O	1996-08-26	more	C
more	RBR	I-ADVP	O	No	mild-mannered	NC
mild-mannered	JJ	I-ADJP	O	more	and	NC
and	CC	I-ADJP	O	mild-mannered	meek	NC
meek	JJ	I-ADJP	O	and	Al	NC
Al	NNP	I-NP	PER	meek	Gore	C
Gore	NNP	I-NP	PER	Al	,	C
,	,	O	O	Gore	the	NC
the	DT	I-NP	O	,	vice	NC
vice	NN	I-NP	O	the	president	NC
president	NN	I-NP	O	vice	and	NC
and	CC	O	O	president	likely	NC
likely	JJ	I-ADJP	O	and	heir	NC
heir	NN	I-NP	O	likely	apparent	NC
apparent	JJ	I-ADJP	O	heir	to	NC
to	TO	I-PP	O	apparent	President	NC
President	NNP	I-NP	O	to	Bill	C
Bill	NNP	I-NP	PER	President	Clinton	C
Clinton	NNP	I-NP	PER	Bill	,	C
,	,	O	O	Clinton	emerged	NC
emerged	VBD	I-VP	O	,	on	NC
on	IN	I-PP	O	emerged	Monday	NC
Monday	NNP	I-NP	O	on	as	C
as	IN	I-PP	O	Monday	the	NC
the	DT	I-NP	O	as	new	NC
new	JJ	I-NP	O	the	Democratic	NC
Democratic	JJ	I-NP	MISC	new	attack	C
attack	NN	I-NP	O	Democratic	dog	NC
dog	NN	I-NP	O	attack	leading	NC
leading	VBG	I-VP	O	dog	a	NC
a	DT	I-NP	O	leading	front-line	NC
front-line	JJ	I-NP	O	a	assault	NC
assault	NN	I-NP	O	front-line	on	NC
on	IN	I-PP	O	assault	Bob	NC
Bob	NNP	I-NP	PER	on	Dole	C
Dole	NNP	I-NP	PER	Bob	and	C
and	CC	O	O	Dole	House	NC
House	NNP	I-NP	ORG	and	Speaker	C
Speaker	NNP	I-NP	O	House	Newt	C
Newt	NNP	I-NP	PER	Speaker	Gingrich	C
Gingrich	NNP	I-NP	PER	Newt	.	C
.	.	O	O	Gingrich	While	NC
While	IN	I-SBAR	O	.	Clinton	C
Clinton	NNP	I-NP	PER	While	takes	C
takes	VBZ	I-VP	O	Clinton	a	NC
a	DT	I-NP	O	takes	train	NC
train	NN	I-NP	O	a	trip	NC
trip	NN	I-NP	O	train	to	NC
to	TO	I-PP	O	trip	the	NC
the	DT	I-NP	O	to	Democratic	NC
Democratic	NNP	I-NP	MISC	the	Convention	C
Convention	NNP	I-NP	MISC	Democratic	that	C
that	WDT	B-NP	O	Convention	will	NC
will	MD	I-VP	O	that	renominate	NC
renominate	VB	I-VP	O	will	him	NC
him	PRP	I-NP	O	renominate	on	NC
on	IN	I-PP	O	him	Wednesday	NC
Wednesday	NNP	I-NP	O	on	for	C
for	IN	I-PP	O	Wednesday	a	NC
a	DT	I-NP	O	for	second	NC
second	JJ	I-NP	O	a	term	NC
term	NN	I-NP	O	second	,	NC
,	,	O	O	term	Gore	NC
Gore	NNP	I-NP	PER	,	is	C
is	VBZ	I-VP	O	Gore	the	NC
the	DT	I-NP	O	is	bright	NC
bright	JJ	I-NP	O	the	star	NC
star	NN	I-NP	O	bright	in	NC
in	IN	I-PP	O	star	the	NC
the	DT	I-NP	O	in	convention	NC
convention	NN	I-NP	O	the	city	NC
city	NN	I-NP	O	convention	now	NC
now	RB	I-ADVP	O	city	.	NC
.	.	O	O	now	Crowds	NC
Crowds	NNS	I-NP	O	.	anxiously	C
anxiously	RB	I-ADVP	O	Crowds	wait	NC
wait	VB	I-VP	O	anxiously	for	NC
for	IN	I-PP	O	wait	his	NC
his	PRP$	I-NP	O	for	appearances	NC
appearances	NNS	I-NP	O	his	,	NC
,	,	O	O	appearances	thrusting	NC
thrusting	VBG	I-VP	O	,	out	NC
out	RP	I-PRT	O	thrusting	hands	NC
hands	NNS	I-NP	O	out	for	NC
for	IN	I-PP	O	hands	him	NC
him	PRP	I-NP	O	for	to	NC
to	TO	I-PP	O	him	grip	NC
grip	NN	I-NP	O	to	as	NC
as	IN	I-SBAR	O	grip	they	NC
they	PRP	I-NP	O	as	scream	NC
scream	NN	I-NP	O	they	""""	NC
""""	""""	O	O	scream	12	NC
12	CD	I-NP	O	""""	more	NC
more	JJR	I-NP	O	12	years	NC
years	NNS	I-NP	O	more	""""	NC
""""	""""	O	O	years	--	NC
--	:	O	O	""""	a	NC
a	DT	I-NP	O	--	wishful	NC
wishful	JJ	I-NP	O	a	hope	NC
hope	NN	I-NP	O	wishful	to	NC
to	TO	I-PP	O	hope	eight	NC
eight	CD	I-NP	O	to	years	NC
years	NNS	I-NP	O	eight	of	NC
of	IN	I-PP	O	years	Gore	NC
Gore	NNP	I-NP	PER	of	after	C
after	IN	I-PP	O	Gore	a	NC
a	DT	I-NP	O	after	Clinton	NC
Clinton	NNP	I-NP	PER	a	re-election	C
re-election	NN	I-NP	O	Clinton	.	NC
.	.	O	O	re-election	Over	NC
Over	IN	I-PP	O	.	a	C
a	DT	I-NP	O	Over	15-hour	NC
15-hour	JJ	I-NP	O	a	span	NC
span	NN	I-NP	O	15-hour	from	NC
from	IN	I-PP	O	span	Sunday	NC
Sunday	NNP	I-NP	O	from	evening	C
evening	NN	I-NP	O	Sunday	to	NC
to	TO	I-PP	O	evening	Monday	NC
Monday	NNP	I-NP	O	to	morning	C
morning	NN	I-NP	O	Monday	,	NC
,	,	O	O	morning	so	NC
so	RB	I-NP	O	,	many	NC
many	JJ	I-NP	O	so	people	NC
people	NNS	I-NP	O	many	jammed	NC
jammed	VBD	I-VP	O	people	Gore	NC
Gore	NNP	I-NP	PER	jammed	events	C
events	NNS	I-NP	O	Gore	that	NC
that	IN	I-SBAR	O	events	the	NC
the	DT	I-NP	O	that	fire	NC
fire	NN	I-NP	O	the	marshal	NC
marshal	NN	I-NP	O	fire	stopped	NC
stopped	VBD	I-VP	O	marshal	members	NC
members	NNS	I-NP	O	stopped	of	NC
of	IN	I-PP	O	members	Congress	NC
Congress	NNP	I-NP	ORG	of	,	C
,	,	O	O	Congress	reporters	NC
reporters	NNS	I-NP	O	,	and	NC
and	CC	O	O	reporters	others	NC
others	NNS	I-NP	O	and	from	NC
from	IN	I-PP	O	others	entering	NC
entering	VBG	I-VP	O	from	a	NC
a	DT	I-NP	O	entering	pro-Israel	NC
pro-Israel	JJ	I-NP	MISC	a	rally	NC
rally	NN	I-NP	O	pro-Israel	and	NC
and	CC	O	O	rally	a	NC
a	DT	I-NP	O	and	meeting	NC
meeting	NN	I-NP	O	a	of	NC
of	IN	I-PP	O	meeting	the	NC
the	DT	I-NP	O	of	New	NC
New	NNP	I-NP	LOC	the	York	C
York	NNP	I-NP	LOC	New	delegation	C
delegation	NN	I-NP	O	York	.	NC
.	.	O	O	delegation	In	NC
In	IN	I-PP	O	.	his	C
his	PRP$	I-NP	O	In	appearances	NC
appearances	NNS	I-NP	O	his	,	NC
,	,	O	O	appearances	the	NC
the	DT	I-NP	O	,	often	NC
