token	pos	chunk	NER	previous	following	capitals
recommendation	NN	I-NP	O	such	because	NC
because	IN	I-SBAR	O	recommendation	we	NC
we	PRP	I-NP	O	because	do	NC
do	VBP	I-VP	O	we	n't	NC
n't	RB	I-VP	O	do	see	NC
see	VB	I-VP	O	n't	any	NC
any	DT	I-NP	O	see	grounds	NC
grounds	NNS	I-NP	O	any	for	NC
for	IN	I-PP	O	grounds	it	NC
it	PRP	I-NP	O	for	,	NC
,	,	O	O	it	""""	NC
""""	""""	O	O	,	the	NC
the	DT	I-NP	O	""""	Commission	NC
Commission	NNP	I-NP	ORG	the	's	C
's	POS	B-NP	O	Commission	chief	NC
chief	JJ	I-NP	O	's	spokesman	NC
spokesman	NN	I-NP	O	chief	Nikolaus	NC
Nikolaus	NNP	I-NP	PER	spokesman	van	C
van	NNP	I-NP	PER	Nikolaus	der	NC
der	FW	I-NP	PER	van	Pas	NC
Pas	NNP	I-NP	PER	der	told	C
told	VBD	I-VP	O	Pas	a	NC
a	DT	I-NP	O	told	news	NC
news	NN	I-NP	O	a	briefing	NC
briefing	NN	I-NP	O	news	.	NC
.	.	O	O	briefing	He	NC
He	PRP	I-NP	O	.	said	C
said	VBD	I-VP	O	He	further	NC
further	JJ	I-NP	O	said	scientific	NC
scientific	JJ	I-NP	O	further	study	NC
study	NN	I-NP	O	scientific	was	NC
was	VBD	I-VP	O	study	required	NC
required	VBN	I-VP	O	was	and	NC
and	CC	O	O	required	if	NC
if	IN	I-SBAR	O	and	it	NC
it	PRP	I-NP	O	if	was	NC
was	VBD	I-VP	O	it	found	NC
found	VBN	I-VP	O	was	that	NC
that	IN	I-SBAR	O	found	action	NC
action	NN	I-NP	O	that	was	NC
was	VBD	I-VP	O	action	needed	NC
needed	VBN	I-VP	O	was	it	NC
it	PRP	I-NP	O	needed	should	NC
should	MD	I-VP	O	it	be	NC
be	VB	I-VP	O	should	taken	NC
taken	VBN	I-VP	O	be	by	NC
by	IN	I-PP	O	taken	the	NC
the	DT	I-NP	O	by	European	NC
European	NNP	I-NP	ORG	the	Union	C
Union	NNP	I-NP	ORG	European	.	C
.	.	O	O	Union	He	NC
He	PRP	I-NP	O	.	said	C
said	VBD	I-VP	O	He	a	NC
a	DT	I-NP	O	said	proposal	NC
proposal	NN	I-NP	O	a	last	NC
last	JJ	B-NP	O	proposal	month	NC
month	NN	I-NP	O	last	by	NC
by	IN	I-PP	O	month	EU	NC
EU	NNP	I-NP	ORG	by	Farm	C
Farm	NNP	I-NP	O	EU	Commissioner	C
Commissioner	NNP	I-NP	O	Farm	Franz	C
Franz	NNP	I-NP	PER	Commissioner	Fischler	C
Fischler	NNP	I-NP	PER	Franz	to	C
to	TO	I-VP	O	Fischler	ban	NC
ban	VB	I-VP	O	to	sheep	NC
sheep	NN	I-NP	O	ban	brains	NC
brains	NNS	I-NP	O	sheep	,	NC
,	,	O	O	brains	spleens	NC
spleens	NNS	I-NP	O	,	and	NC
and	CC	O	O	spleens	spinal	NC
spinal	JJ	I-NP	O	and	cords	NC
cords	NNS	I-NP	O	spinal	from	NC
from	IN	I-PP	O	cords	the	NC
the	DT	I-NP	O	from	human	NC
human	NN	I-NP	O	the	and	NC
and	CC	I-NP	O	human	animal	NC
animal	NN	I-NP	O	and	food	NC
food	NN	I-NP	O	animal	chains	NC
chains	NNS	I-NP	O	food	was	NC
was	VBD	I-VP	O	chains	a	NC
a	DT	I-NP	O	was	highly	NC
highly	RB	I-NP	O	a	specific	NC
specific	JJ	I-ADJP	O	highly	and	NC
and	CC	I-ADJP	O	specific	precautionary	NC
precautionary	JJ	I-ADJP	O	and	move	NC
move	NN	I-NP	O	precautionary	to	NC
to	TO	I-VP	O	move	protect	NC
protect	VB	I-VP	O	to	human	NC
human	JJ	I-NP	O	protect	health	NC
health	NN	I-NP	O	human	.	NC
.	.	O	O	health	Fischler	NC
Fischler	JJR	I-NP	PER	.	proposed	C
proposed	VBN	I-NP	O	Fischler	EU-wide	NC
EU-wide	NNP	I-NP	MISC	proposed	measures	C
measures	VBZ	I-VP	O	EU-wide	after	NC
after	IN	I-PP	O	measures	reports	NC
reports	NNS	I-NP	O	after	from	NC
from	IN	I-PP	O	reports	Britain	NC
Britain	NNP	I-NP	LOC	from	and	C
and	CC	I-NP	O	Britain	France	NC
France	NNP	I-NP	LOC	and	that	C
that	WDT	B-NP	O	France	under	NC
under	IN	I-PP	O	that	laboratory	NC
laboratory	NN	I-NP	O	under	conditions	NC
conditions	NNS	B-NP	O	laboratory	sheep	NC
sheep	NN	I-NP	O	conditions	could	NC
could	MD	I-VP	O	sheep	contract	NC
contract	VB	I-VP	O	could	Bovine	NC
Bovine	NNP	I-NP	MISC	contract	Spongiform	C
Spongiform	NNP	I-NP	MISC	Bovine	Encephalopathy	C
Encephalopathy	NNP	I-NP	MISC	Spongiform	(	C
(	(	O	O	Encephalopathy	BSE	NC
BSE	NNP	I-NP	MISC	(	)	C
)	)	O	O	BSE	--	NC
--	:	O	O	)	mad	NC
mad	JJ	I-NP	O	--	cow	NC
cow	NN	I-NP	O	mad	disease	NC
disease	NN	I-NP	O	cow	.	NC
.	.	O	O	disease	But	NC
But	CC	O	O	.	Fischler	C
Fischler	NNP	I-NP	PER	But	agreed	C
agreed	VBD	I-VP	O	Fischler	to	NC
to	TO	I-VP	O	agreed	review	NC
review	VB	I-VP	O	to	his	NC
his	PRP$	I-NP	O	review	proposal	NC
proposal	NN	I-NP	O	his	after	NC
after	IN	I-PP	O	proposal	the	NC
the	DT	I-NP	O	after	EU	NC
EU	NNP	I-NP	ORG	the	's	C
's	POS	B-NP	O	EU	standing	NC
standing	NN	I-NP	O	's	veterinary	NC
veterinary	JJ	I-NP	O	standing	committee	NC
committee	NN	I-NP	O	veterinary	,	NC
,	,	O	O	committee	mational	NC
mational	JJ	I-NP	O	,	animal	NC
animal	NN	I-NP	O	mational	health	NC
health	NN	I-NP	O	animal	officials	NC
officials	NNS	I-NP	O	health	,	NC
,	,	O	O	officials	questioned	NC
questioned	VBD	I-VP	O	,	if	NC
if	IN	I-SBAR	O	questioned	such	NC
such	JJ	I-NP	O	if	action	NC
action	NN	I-NP	O	such	was	NC
was	VBD	I-VP	O	action	justified	NC
justified	VBN	I-VP	O	was	as	NC
as	IN	I-PP	O	justified	there	NC
there	RB	I-ADVP	O	as	was	NC
was	VBD	I-VP	O	there	only	NC
only	RB	I-ADVP	O	was	a	NC
a	DT	I-NP	O	only	slight	NC
slight	JJ	I-NP	O	a	risk	NC
risk	NN	I-NP	O	slight	to	NC
to	TO	I-PP	O	risk	human	NC
human	JJ	I-NP	O	to	health	NC
health	NN	I-NP	O	human	.	NC
.	.	O	O	health	Spanish	NC
Spanish	NNP	I-NP	MISC	.	Farm	C
Farm	NNP	I-NP	O	Spanish	Minister	C
Minister	NNP	I-NP	O	Farm	Loyola	C
Loyola	NNP	I-NP	PER	Minister	de	C
de	NNP	I-NP	PER	Loyola	Palacio	NC
Palacio	NNP	I-NP	PER	de	had	C
had	VBD	I-VP	O	Palacio	earlier	NC
earlier	RBR	I-VP	O	had	accused	NC
accused	VBN	I-VP	O	earlier	Fischler	NC
Fischler	NNP	I-NP	PER	accused	at	C
at	IN	I-PP	O	Fischler	an	NC
an	DT	I-NP	O	at	EU	NC
EU	JJ	I-NP	ORG	an	farm	C
farm	NN	I-NP	O	EU	ministers	NC
ministers	NNS	I-NP	O	farm	'	NC
'	POS	B-NP	O	ministers	meeting	NC
meeting	NN	I-NP	O	'	of	NC
of	IN	I-PP	O	meeting	causing	NC
causing	VBG	I-VP	O	of	unjustified	NC
unjustified	JJ	I-ADJP	O	causing	alarm	NC
alarm	NN	I-NP	O	unjustified	through	NC
through	IN	I-PP	O	alarm	""""	NC
""""	""""	O	O	through	dangerous	NC
dangerous	JJ	I-NP	O	""""	generalisation	NC
generalisation	NN	I-NP	O	dangerous	.	NC
.	.	O	O	generalisation	""""	NC
""""	""""	O	O	.	.	NC
.	.	O	O	""""	Only	NC
Only	RB	I-NP	O	.	France	C
France	NNP	I-NP	LOC	Only	and	C
and	CC	I-NP	O	France	Britain	NC
Britain	NNP	I-NP	LOC	and	backed	C
backed	VBD	I-VP	O	Britain	Fischler	NC
Fischler	NNP	I-NP	PER	backed	's	C
's	POS	B-NP	O	Fischler	proposal	NC
proposal	NN	I-NP	O	's	.	NC
.	.	O	O	proposal	The	NC
The	DT	I-NP	O	.	EU	C
EU	NNP	I-NP	ORG	The	's	C
's	POS	B-NP	O	EU	scientific	NC
scientific	JJ	I-NP	O	's	veterinary	NC
veterinary	JJ	I-NP	O	scientific	and	NC
and	CC	I-NP	O	veterinary	multidisciplinary	NC
multidisciplinary	JJ	I-NP	O	and	committees	NC
committees	NNS	I-NP	O	multidisciplinary	are	NC
are	VBP	I-VP	O	committees	due	NC
due	JJ	I-ADJP	O	are	to	NC
to	TO	I-VP	O	due	re-examine	NC
re-examine	VB	I-VP	O	to	the	NC
the	DT	I-NP	O	re-examine	issue	NC
issue	NN	I-NP	O	the	early	NC
early	RB	B-NP	O	issue	next	NC
next	JJ	I-NP	O	early	month	NC
month	NN	I-NP	O	next	and	NC
and	CC	O	O	month	make	NC
make	VB	I-VP	O	and	recommendations	NC
recommendations	NNS	I-NP	O	make	to	NC
to	TO	I-PP	O	recommendations	the	NC
the	DT	I-NP	O	to	senior	NC
senior	JJ	I-NP	O	the	veterinary	NC
veterinary	JJ	I-NP	O	senior	officials	NC
officials	NNS	I-NP	O	veterinary	.	NC
.	.	O	O	officials	Sheep	NC
Sheep	NNP	I-NP	O	.	have	C
have	VBP	I-VP	O	Sheep	long	NC
long	RB	I-VP	O	have	been	NC
been	VBN	I-VP	O	long	known	NC
known	VBN	I-VP	O	been	to	NC
to	TO	I-PP	O	known	contract	NC
contract	NN	I-NP	O	to	scrapie	NC
scrapie	NN	I-NP	O	contract	,	NC
,	,	O	O	scrapie	a	NC
a	DT	I-NP	O	,	brain-wasting	NC
brain-wasting	JJ	I-NP	O	a	disease	NC
disease	NN	I-NP	O	brain-wasting	similar	NC
similar	JJ	I-ADJP	O	disease	to	NC
to	TO	I-PP	O	similar	BSE	NC
BSE	NNP	I-NP	MISC	to	which	C
which	WDT	B-NP	O	BSE	is	NC
is	VBZ	I-VP	O	which	believed	NC
believed	VBN	I-VP	O	is	to	NC
to	TO	I-VP	O	believed	have	NC
have	VB	I-VP	O	to	been	NC
been	VBN	I-VP	O	have	transferred	NC
transferred	VBN	I-VP	O	been	to	NC
to	TO	I-PP	O	transferred	cattle	NC
cattle	NNS	I-NP	O	to	through	NC
through	IN	I-PP	O	cattle	feed	NC
feed	NN	I-NP	O	through	containing	NC
containing	VBG	I-VP	O	feed	animal	NC
animal	NN	I-NP	O	containing	waste	NC
waste	NN	I-NP	O	animal	.	NC
.	.	O	O	waste	British	NC
British	JJ	I-NP	MISC	.	farmers	C
farmers	NNS	I-NP	O	British	denied	NC
denied	VBN	I-VP	O	farmers	on	NC
on	IN	I-PP	O	denied	Thursday	NC
Thursday	NNP	I-NP	O	on	there	C
there	EX	B-NP	O	Thursday	was	NC
was	VBD	I-VP	O	there	any	NC
any	DT	I-NP	O	was	danger	NC
danger	NN	I-NP	O	any	to	NC
to	TO	I-PP	O	danger	human	NC
human	JJ	I-NP	O	to	health	NC
health	NN	I-NP	O	human	from	NC
from	IN	I-PP	O	health	their	NC
their	PRP$	I-NP	O	from	sheep	NC
sheep	NN	I-NP	O	their	,	NC
,	,	O	O	sheep	but	NC
but	CC	O	O	,	expressed	NC
expressed	VBD	I-VP	O	but	concern	NC
concern	NN	I-NP	O	expressed	that	NC
that	IN	I-SBAR	O	concern	German	NC
German	JJ	I-NP	MISC	that	government	C
government	NN	I-NP	O	German	advice	NC
advice	NN	I-NP	O	government	to	NC
to	TO	I-PP	O	advice	consumers	NC
consumers	NNS	I-NP	O	to	to	NC
to	TO	I-VP	O	consumers	avoid	NC
avoid	VB	I-VP	O	to	British	NC
British	JJ	I-NP	MISC	avoid	lamb	C
lamb	NN	I-NP	O	British	might	NC
might	MD	I-VP	O	lamb	influence	NC
influence	VB	I-VP	O	might	consumers	NC
consumers	NNS	I-NP	O	influence	across	NC
across	IN	I-PP	O	consumers	Europe	NC
Europe	NNP	I-NP	LOC	across	.	C
.	.	O	O	Europe	""""	NC
""""	""""	O	O	.	What	NC
What	WP	I-NP	O	""""	we	C
we	PRP	B-NP	O	What	have	NC
have	VBP	I-VP	O	we	to	NC
to	TO	I-VP	O	have	be	NC
be	VB	I-VP	O	to	extremely	NC
extremely	RB	I-ADJP	O	be	careful	NC
careful	JJ	I-ADJP	O	extremely	of	NC
of	IN	I-PP	O	careful	is	NC
is	VBZ	I-VP	O	of	how	NC
how	WRB	I-ADVP	O	is	other	NC
other	JJ	I-NP	O	how	countries	NC
countries	NNS	I-NP	O	other	are	NC
are	VBP	I-VP	O	countries	going	NC
going	VBG	I-VP	O	are	to	NC
to	TO	I-VP	O	going	take	NC
take	VB	I-VP	O	to	Germany	NC
Germany	NNP	I-NP	LOC	take	's	C
's	POS	B-NP	O	Germany	lead	NC
lead	NN	I-NP	O	's	,	NC
,	,	O	O	lead	""""	NC
""""	""""	O	O	,	Welsh	NC
Welsh	NNP	I-NP	ORG	""""	National	C
National	NNP	I-NP	ORG	Welsh	Farmers	C
Farmers	NNP	I-NP	ORG	National	'	C
'	POS	B-NP	ORG	Farmers	Union	NC
Union	NNP	I-NP	ORG	'	(	C
(	(	O	O	Union	NFU	NC
NFU	NNP	I-NP	ORG	(	)	C
)	)	O	O	NFU	chairman	NC
chairman	NN	I-NP	O	)	John	NC
John	NNP	I-NP	PER	chairman	Lloyd	C
Lloyd	NNP	I-NP	PER	John	Jones	C
Jones	NNP	I-NP	PER	Lloyd	said	C
said	VBD	I-VP	O	Jones	on	NC
on	IN	I-PP	O	said	BBC	NC
BBC	NNP	I-NP	ORG	on	radio	C
radio	NN	I-NP	ORG	BBC	.	NC
.	.	O	O	radio	Bonn	NC
Bonn	NNP	I-NP	LOC	.	has	C
has	VBZ	I-VP	O	Bonn	led	NC
led	VBN	I-VP	O	has	efforts	NC
efforts	NNS	I-NP	O	led	to	NC
to	TO	I-VP	O	efforts	protect	NC
protect	VB	I-VP	O	to	public	NC
public	JJ	I-NP	O	protect	health	NC
health	NN	I-NP	O	public	after	NC
after	IN	I-PP	O	health	consumer	NC
consumer	NN	I-NP	O	after	confidence	NC
confidence	NN	I-NP	O	consumer	collapsed	NC
collapsed	VBD	I-VP	O	confidence	in	NC
in	IN	I-PP	O	collapsed	March	NC
March	NNP	I-NP	O	in	after	C
after	IN	I-PP	O	March	a	NC
a	DT	I-NP	O	after	British	NC
British	JJ	I-NP	MISC	a	report	C
report	NN	I-NP	O	British	suggested	NC
suggested	VBD	I-VP	O	report	humans	NC
humans	NNS	I-NP	O	suggested	could	NC
could	MD	I-VP	O	humans	contract	NC
contract	VB	I-VP	O	could	an	NC
an	DT	I-NP	O	contract	illness	NC
illness	NN	I-NP	O	an	similar	NC
similar	JJ	I-ADJP	O	illness	to	NC
to	TO	I-ADJP	O	similar	mad	NC
mad	JJ	I-ADJP	O	to	cow	NC
cow	NN	I-NP	O	mad	disease	NC
disease	NN	I-NP	O	cow	by	NC
by	IN	I-PP	O	disease	eating	NC
eating	VBG	I-VP	O	by	contaminated	NC
contaminated	VBN	I-VP	O	eating	beef	NC
beef	NN	I-NP	O	contaminated	.	NC
.	.	O	O	beef	Germany	NC
Germany	NNP	I-NP	LOC	.	imported	C
imported	VBD	I-VP	O	Germany	47,600	NC
47,600	CD	I-NP	O	imported	sheep	NC
sheep	NN	I-NP	O	47,600	from	NC
from	IN	I-PP	O	sheep	Britain	NC
Britain	NNP	I-NP	LOC	from	last	C
last	JJ	B-NP	O	Britain	year	NC
year	NN	I-NP	O	last	,	NC
,	,	O	O	year	nearly	NC
nearly	RB	I-NP	O	,	half	NC
half	NN	I-NP	O	nearly	of	NC
of	IN	I-PP	O	half	total	NC
total	JJ	I-NP	O	of	imports	NC
imports	NNS	I-NP	O	total	.	NC
.	.	O	O	imports	It	NC
It	PRP	I-NP	O	.	brought	C
brought	VBD	I-VP	O	It	in	NC
in	IN	I-PP	O	brought	4,275	NC
4,275	CD	I-NP	O	in	tonnes	NC
tonnes	NNS	I-NP	O	4,275	of	NC
of	IN	I-PP	O	tonnes	British	NC
British	JJ	I-NP	MISC	of	mutton	C
mutton	NN	I-NP	O	British	,	NC
,	,	O	O	mutton	some	NC
some	DT	I-NP	O	,	10	NC
10	CD	I-NP	O	some	percent	NC
percent	NN	I-NP	O	10	of	NC
of	IN	I-PP	O	percent	overall	NC
overall	JJ	I-NP	O	of	imports	NC
imports	NNS	I-NP	O	overall	.	NC
.	.	O	O	imports	Rare	NC
Rare	NNP	I-NP	O	.	Hendrix	C
Hendrix	NNP	I-NP	PER	Rare	song	C
song	NN	I-NP	O	Hendrix	draft	NC
draft	NN	I-NP	O	song	sells	NC
sells	VBZ	I-VP	O	draft	for	NC
for	IN	I-PP	O	sells	almost	NC
almost	RB	I-NP	O	for	$	NC
$	$	I-NP	O	almost	17,000	NC
17,000	CD	I-NP	O	$	.	NC
.	.	O	O	17,000	LONDON	NC
LONDON	NNP	I-NP	LOC	.	1996-08-22	C
1996-08-22	CD	I-NP	O	LONDON	A	NC
A	DT	I-NP	O	1996-08-22	rare	C
rare	JJ	I-NP	O	A	early	NC
early	JJ	I-NP	O	rare	handwritten	NC
handwritten	JJ	I-NP	O	early	draft	NC
draft	NN	I-NP	O	handwritten	of	NC
of	IN	I-PP	O	draft	a	NC
a	DT	I-NP	O	of	song	NC
song	NN	I-NP	O	a	by	NC
by	IN	I-PP	O	song	U.S.	NC
U.S.	NNP	I-NP	LOC	by	guitar	C
guitar	NN	I-NP	O	U.S.	legend	NC
legend	NN	I-NP	O	guitar	Jimi	NC
Jimi	NNP	I-NP	PER	legend	Hendrix	C
Hendrix	NNP	I-NP	PER	Jimi	was	C
was	VBD	I-VP	O	Hendrix	sold	NC
sold	VBN	I-VP	O	was	for	NC
for	IN	I-PP	O	sold	almost	NC
almost	RB	I-NP	O	for	$	NC
$	$	I-NP	O	almost	17,000	NC
17,000	CD	I-NP	O	$	on	NC
on	IN	I-PP	O	17,000	Thursday	NC
Thursday	NNP	I-NP	O	on	at	C
at	IN	I-PP	O	Thursday	an	NC
an	DT	I-NP	O	at	auction	NC
auction	NN	I-NP	O	an	of	NC
of	IN	I-PP	O	auction	some	NC
some	DT	I-NP	O	of	of	NC
of	IN	I-PP	O	some	the	NC
the	DT	I-NP	O	of	late	NC
late	JJ	I-NP	O	the	musician	NC
musician	NN	I-NP	O	late	's	NC
's	POS	B-NP	O	musician	favourite	NC
favourite	JJ	I-NP	O	's	possessions	NC
possessions	NNS	I-NP	O	favourite	.	NC
.	.	O	O	possessions	A	NC
A	DT	I-NP	O	.	Florida	C
Florida	NNP	I-NP	LOC	A	restaurant	C
restaurant	NN	I-NP	O	Florida	paid	NC
paid	VBD	I-VP	O	restaurant	10,925	NC
10,925	CD	I-NP	O	paid	pounds	NC
pounds	NNS	I-NP	O	10,925	(	NC
(	(	O	O	pounds	$	NC
$	$	I-NP	O	(	16,935	NC
16,935	CD	I-NP	O	$	)	NC
)	)	O	O	16,935	for	NC
for	IN	I-PP	O	)	the	NC
the	DT	I-NP	O	for	draft	NC
draft	NN	I-NP	O	the	of	NC
of	IN	I-PP	O	draft	""""	NC
""""	""""	O	O	of	Ai	NC
Ai	VBZ	I-VP	MISC	""""	n't	C
n't	RB	O	MISC	Ai	no	NC
no	DT	I-NP	MISC	n't	telling	NC
telling	VBG	I-VP	MISC	no	""""	NC
""""	""""	O	O	telling	,	NC
,	,	O	O	""""	which	NC
which	WDT	I-NP	O	,	Hendrix	NC
Hendrix	NNP	B-NP	PER	which	penned	C
penned	VBN	I-VP	O	Hendrix	on	NC
on	IN	I-PP	O	penned	a	NC
a	DT	I-NP	O	on	piece	NC
piece	NN	I-NP	O	a	of	NC
of	IN	I-PP	O	piece	London	NC
London	NNP	I-NP	LOC	of	hotel	C
hotel	NN	I-NP	O	London	stationery	NC
stationery	NN	I-NP	O	hotel	in	NC
in	IN	I-PP	O	stationery	late	NC
late	JJ	I-NP	O	in	1966	NC
1966	CD	I-NP	O	late	.	NC
.	.	O	O	1966	At	NC
At	IN	I-PP	O	.	the	C
the	DT	I-NP	O	At	end	NC
end	NN	I-NP	O	the	of	NC
of	IN	I-PP	O	end	a	NC
a	DT	I-NP	O	of	January	NC
January	NNP	I-NP	O	a	1967	C
1967	CD	I-NP	O	January	concert	NC
concert	NN	I-NP	O	1967	in	NC
in	IN	I-PP	O	concert	the	NC
the	DT	I-NP	O	in	English	NC
English	JJ	I-NP	MISC	the	city	C
city	NN	I-NP	O	English	of	NC
of	IN	I-PP	O	city	Nottingham	NC
Nottingham	NNP	I-NP	LOC	of	he	C
he	PRP	B-NP	O	Nottingham	threw	NC
threw	VBD	I-VP	O	he	the	NC
the	DT	I-NP	O	threw	sheet	NC
sheet	NN	I-NP	O	the	of	NC
of	IN	I-PP	O	sheet	paper	NC
paper	NN	I-NP	O	of	into	NC
into	IN	I-PP	O	paper	the	NC
the	DT	I-NP	O	into	audience	NC
audience	NN	I-NP	O	the	,	NC
,	,	O	O	audience	where	NC
where	WRB	I-ADVP	O	,	it	NC
it	PRP	I-NP	O	where	was	NC
was	VBD	I-VP	O	it	retrieved	NC
retrieved	VBN	I-VP	O	was	by	NC
by	IN	I-PP	O	retrieved	a	NC
a	DT	I-NP	O	by	fan	NC
fan	NN	I-NP	O	a	.	NC
.	.	O	O	fan	Buyers	NC
Buyers	NNS	I-NP	O	.	also	C
also	RB	I-ADVP	O	Buyers	snapped	NC
snapped	VBD	I-VP	O	also	up	NC
up	RB	I-ADVP	O	snapped	16	NC
16	CD	I-NP	O	up	other	NC
other	JJ	I-NP	O	16	items	NC
items	NNS	I-NP	O	other	that	NC
that	WDT	B-NP	O	items	were	NC
were	VBD	I-VP	O	that	put	NC
put	VBN	I-VP	O	were	up	NC
up	RP	I-PRT	O	put	for	NC
for	IN	I-PP	O	up	auction	NC
auction	NN	I-NP	O	for	by	NC
by	IN	I-PP	O	auction	Hendrix	NC
Hendrix	NNP	I-NP	PER	by	's	C
's	POS	B-NP	O	Hendrix	former	NC
former	JJ	I-NP	O	's	girlfriend	NC
girlfriend	NN	I-NP	O	former	Kathy	NC
Kathy	NNP	I-NP	PER	girlfriend	Etchingham	C
Etchingham	NNP	I-NP	PER	Kathy	,	C
,	,	O	O	Etchingham	who	NC
who	WP	I-NP	O	,	lived	NC
lived	VBD	I-VP	O	who	with	NC
with	IN	I-PP	O	lived	him	NC
him	PRP	I-NP	O	with	from	NC
from	IN	I-PP	O	him	1966	NC
1966	CD	I-NP	O	from	to	NC
to	TO	I-PP	O	1966	1969	NC
1969	CD	I-NP	O	to	.	NC
.	.	O	O	1969	They	NC
They	PRP	I-NP	O	.	included	C
included	VBD	I-VP	O	They	a	NC
a	DT	I-NP	O	included	black	NC
black	JJ	I-NP	O	a	lacquer	NC
lacquer	NN	I-NP	O	black	and	NC
and	CC	I-NP	O	lacquer	mother	NC
mother	NN	I-NP	O	and	of	NC
of	IN	I-PP	O	mother	pearl	NC
pearl	NN	I-NP	O	of	inlaid	NC
inlaid	VBD	I-VP	O	pearl	box	NC
box	NN	I-NP	O	inlaid	used	NC
used	VBN	I-VP	O	box	by	NC
by	IN	I-PP	O	used	Hendrix	NC
Hendrix	NNP	I-NP	PER	by	to	C
to	TO	I-VP	O	Hendrix	store	NC
store	VB	I-VP	O	to	his	NC
his	PRP$	I-NP	O	store	drugs	NC
drugs	NNS	I-NP	O	his	,	NC
,	,	O	O	drugs	which	NC
which	WDT	I-NP	O	,	an	NC
an	DT	B-NP	O	which	anonymous	NC
anonymous	JJ	I-NP	O	an	Australian	NC
Australian	JJ	I-NP	MISC	anonymous	purchaser	C
purchaser	NN	I-NP	O	Australian	bought	NC
bought	VBD	I-VP	O	purchaser	for	NC
for	IN	I-PP	O	bought	5,060	NC
