token	pos	chunk	NER	previous	following	capitals
racial	JJ	I-NP	O	inciting	hatred	NC
hatred	NN	I-NP	O	racial	.	NC
.	.	O	O	hatred	""""	NC
""""	""""	O	O	.	The	NC
The	DT	I-NP	O	""""	struggle	C
struggle	NN	I-NP	O	The	will	NC
will	MD	I-VP	O	struggle	go	NC
go	VB	I-VP	O	will	on	NC
on	IN	I-PP	O	go	,	NC
,	,	O	O	on	""""	NC
""""	""""	O	O	,	the	NC
the	DT	I-NP	O	""""	43-year-old	NC
43-year-old	JJ	I-NP	O	the	shouted	NC
shouted	VBD	I-VP	O	43-year-old	in	NC
in	IN	I-PP	O	shouted	German	NC
German	JJ	I-NP	MISC	in	before	C
before	IN	I-PP	O	German	being	NC
being	VBG	I-VP	O	before	escorted	NC
escorted	VBD	I-VP	O	being	out	NC
out	RP	I-PRT	O	escorted	by	NC
by	IN	I-PP	O	out	security	NC
security	NN	I-NP	O	by	guards	NC
guards	NNS	I-NP	O	security	.	NC
.	.	O	O	guards	Lauck	NC
Lauck	NN	I-NP	PER	.	's	C
's	POS	B-NP	O	Lauck	lawyer	NC
lawyer	NN	I-NP	O	's	vowed	NC
vowed	VBD	I-VP	O	lawyer	he	NC
he	PRP	I-NP	O	vowed	would	NC
would	MD	I-VP	O	he	appeal	NC
appeal	VB	I-VP	O	would	against	NC
against	IN	I-PP	O	appeal	the	NC
the	DT	I-NP	O	against	court	NC
court	NN	I-NP	O	the	's	NC
's	POS	B-NP	O	court	decision	NC
decision	NN	I-NP	O	's	,	NC
,	,	O	O	decision	arguing	NC
arguing	VBG	I-VP	O	,	that	NC
that	IN	I-SBAR	O	arguing	his	NC
his	PRP$	I-NP	O	that	client	NC
client	NN	I-NP	O	his	should	NC
should	MD	I-VP	O	client	have	NC
have	VB	I-VP	O	should	been	NC
been	VBN	I-VP	O	have	set	NC
set	VBN	I-VP	O	been	free	NC
free	JJ	I-ADJP	O	set	because	NC
because	IN	I-SBAR	O	free	he	NC
he	PRP	I-NP	O	because	had	NC
had	VBD	I-VP	O	he	not	NC
not	RB	I-VP	O	had	committed	NC
committed	VBN	I-VP	O	not	any	NC
any	DT	I-NP	O	committed	offence	NC
offence	JJ	I-NP	O	any	under	NC
under	IN	I-PP	O	offence	German	NC
German	JJ	I-NP	MISC	under	law	C
law	NN	I-NP	O	German	.	NC
.	.	O	O	law	The	NC
The	DT	I-NP	O	.	German	C
German	JJ	I-NP	MISC	The	government	C
government	NN	I-NP	O	German	hailed	NC
hailed	VBD	I-VP	O	government	the	NC
the	DT	I-NP	O	hailed	conviction	NC
conviction	NN	I-NP	O	the	as	NC
as	IN	I-PP	O	conviction	a	NC
a	DT	I-NP	O	as	major	NC
major	JJ	I-NP	O	a	victory	NC
victory	NN	I-NP	O	major	in	NC
in	IN	I-PP	O	victory	the	NC
the	DT	I-NP	O	in	fight	NC
fight	NN	I-NP	O	the	against	NC
against	IN	I-PP	O	fight	neo-Nazism	NC
neo-Nazism	NN	I-NP	MISC	against	.	NC
.	.	O	O	neo-Nazism	Lauck	NC
Lauck	NN	I-NP	PER	.	's	C
's	VBZ	I-VP	O	Lauck	worldwide	NC
worldwide	JJ	I-ADJP	O	's	network	NC
network	NN	I-NP	O	worldwide	has	NC
has	VBZ	I-VP	O	network	been	NC
been	VBN	I-VP	O	has	the	NC
the	DT	I-NP	O	been	main	NC
main	JJ	I-NP	O	the	source	NC
source	NN	I-NP	O	main	of	NC
of	IN	I-PP	O	source	anti-Semitic	NC
anti-Semitic	JJ	I-NP	MISC	of	propaganda	NC
propaganda	NN	I-NP	O	anti-Semitic	material	NC
material	NN	I-NP	O	propaganda	flowing	NC
flowing	VBG	I-VP	O	material	into	NC
into	IN	I-PP	O	flowing	Germany	NC
Germany	NNP	I-NP	LOC	into	since	C
since	IN	I-PP	O	Germany	the	NC
the	DT	I-NP	O	since	1970s	NC
1970s	NNS	I-NP	O	the	.	NC
.	.	O	O	1970s	""""	NC
""""	""""	O	O	.	Lauck	NC
Lauck	NNP	I-NP	PER	""""	possessed	C
possessed	VBD	I-VP	O	Lauck	a	NC
a	DT	I-NP	O	possessed	well-oiled	NC
well-oiled	JJ	I-NP	O	a	propaganda	NC
propaganda	NN	I-NP	O	well-oiled	machine	NC
machine	NN	I-NP	O	propaganda	,	NC
,	,	O	O	machine	honed	NC
honed	VBN	I-VP	O	,	during	NC
during	IN	I-PP	O	honed	more	NC
more	JJR	I-NP	O	during	than	NC
than	IN	I-NP	O	more	20	NC
20	CD	I-NP	O	than	years	NC
years	NNS	I-NP	O	20	,	NC
,	,	O	O	years	""""	NC
""""	""""	O	O	,	presiding	NC
presiding	VBG	I-VP	O	""""	judge	NC
judge	NN	I-NP	O	presiding	Guenter	NC
Guenter	NNP	I-NP	PER	judge	Bertram	C
Bertram	NNP	I-NP	PER	Guenter	told	C
told	VBD	I-VP	O	Bertram	the	NC
the	DT	I-NP	O	told	court	NC
court	NN	I-NP	O	the	.	NC
.	.	O	O	court	""""	NC
""""	""""	O	O	.	He	NC
He	PRP	I-NP	O	""""	set	C
set	VBP	I-VP	O	He	up	NC
up	RP	I-PRT	O	set	a	NC
a	DT	I-NP	O	up	propaganda	NC
propaganda	NN	I-NP	O	a	cannon	NC
cannon	NN	I-NP	O	propaganda	and	NC
and	CC	O	O	cannon	fired	NC
fired	VBD	I-VP	O	and	it	NC
it	PRP	I-NP	O	fired	at	NC
at	IN	I-PP	O	it	Germany	NC
Germany	NNP	I-NP	LOC	at	.	C
.	.	I-NP	O	Germany	""""	NC
""""	""""	O	O	.	said	NC
said	VBD	I-VP	O	""""	Bertram	NC
Bertram	NNP	I-NP	PER	said	,	C
,	,	O	O	Bertram	who	NC
who	WP	I-NP	O	,	also	NC
also	RB	I-ADVP	O	who	read	NC
read	VBD	I-VP	O	also	out	NC
out	RP	I-PRT	O	read	extracts	NC
extracts	VBZ	I-VP	O	out	from	NC
from	IN	I-PP	O	extracts	Lauck	NC
Lauck	NNP	I-NP	PER	from	's	C
's	POS	B-NP	O	Lauck	material	NC
material	NN	I-NP	O	's	praising	NC
praising	VBG	I-VP	O	material	Hitler	NC
Hitler	NNP	I-NP	PER	praising	as	C
as	IN	I-PP	O	Hitler	""""	NC
""""	""""	O	O	as	the	NC
the	DT	I-NP	O	""""	greatest	NC
greatest	JJS	I-NP	O	the	of	NC
of	IN	I-PP	O	greatest	all	NC
all	DT	I-NP	O	of	leaders	NC
leaders	NNS	I-NP	O	all	""""	NC
""""	""""	O	O	leaders	and	NC
and	CC	O	O	""""	describing	NC
describing	VBG	I-VP	O	and	the	NC
the	DT	I-NP	O	describing	Nazi	NC
Nazi	NNP	I-NP	MISC	the	slaughter	C
slaughter	NN	I-NP	O	Nazi	of	NC
of	IN	I-PP	O	slaughter	millions	NC
millions	NNS	I-NP	O	of	of	NC
of	IN	I-PP	O	millions	Jews	NC
Jews	NNPS	I-NP	MISC	of	as	C
as	IN	I-PP	O	Jews	a	NC
a	DT	I-NP	O	as	myth	NC
myth	NN	I-NP	O	a	.	NC
.	.	O	O	myth	Eager	NC
Eager	JJ	I-NP	O	.	to	C
to	TO	I-VP	O	Eager	put	NC
put	VB	I-VP	O	to	Lauck	NC
Lauck	NNP	I-NP	PER	put	behind	C
behind	IN	I-PP	O	Lauck	bars	NC
bars	NNS	I-NP	O	behind	quickly	NC
quickly	RB	I-ADVP	O	bars	and	NC
and	CC	O	O	quickly	avoid	NC
avoid	VB	I-VP	O	and	a	NC
a	DT	I-NP	O	avoid	long	NC
long	JJ	I-NP	O	a	and	NC
and	CC	I-NP	O	long	complex	NC
complex	JJ	I-NP	O	and	trial	NC
trial	NN	I-NP	O	complex	,	NC
,	,	O	O	trial	prosecutor	NC
prosecutor	NN	I-NP	O	,	Bernd	NC
Bernd	NNP	I-NP	PER	prosecutor	Mauruschat	C
Mauruschat	NNP	I-NP	PER	Bernd	limited	C
limited	JJ	I-NP	O	Mauruschat	his	NC
his	PRP$	B-NP	O	limited	charges	NC
charges	NNS	I-NP	O	his	to	NC
to	TO	I-VP	O	charges	offences	NC
offences	NNS	I-NP	O	to	since	NC
since	IN	I-PP	O	offences	1994	NC
1994	CD	I-NP	O	since	.	NC
.	.	O	O	1994	He	NC
He	PRP	I-NP	O	.	had	C
had	VBD	I-VP	O	He	demanded	NC
demanded	VBN	I-VP	O	had	a	NC
a	DT	I-NP	O	demanded	five-year	NC
five-year	JJ	I-NP	O	a	jail	NC
jail	NN	I-NP	O	five-year	term	NC
term	NN	I-NP	O	jail	but	NC
but	CC	O	O	term	said	NC
said	VBD	I-VP	O	but	he	NC
he	PRP	I-NP	O	said	was	NC
was	VBD	I-VP	O	he	satisfied	NC
satisfied	JJ	I-ADJP	O	was	with	NC
with	IN	I-PP	O	satisfied	the	NC
the	DT	I-NP	O	with	court	NC
court	NN	I-NP	O	the	's	NC
's	POS	B-NP	O	court	sentence	NC
sentence	NN	I-NP	O	's	.	NC
.	.	O	O	sentence	Publishing	NC
Publishing	NN	I-NP	O	.	and	C
and	CC	O	O	Publishing	distributing	NC
distributing	VBG	I-VP	O	and	neo-Nazi	NC
neo-Nazi	JJ	I-NP	MISC	distributing	material	NC
material	NN	I-NP	O	neo-Nazi	is	NC
is	VBZ	I-VP	O	material	illegal	NC
illegal	JJ	I-ADJP	O	is	in	NC
in	IN	I-PP	O	illegal	Germany	NC
Germany	NNP	I-NP	LOC	in	but	C
but	CC	O	O	Germany	Lauck	NC
Lauck	NNP	I-NP	PER	but	's	C
's	POS	B-NP	O	Lauck	defence	NC
defence	NN	I-NP	O	's	team	NC
team	NN	I-NP	O	defence	had	NC
had	VBD	I-VP	O	team	argued	NC
argued	VBN	I-VP	O	had	that	NC
that	IN	I-SBAR	O	argued	U.S	NC
U.S	NNP	I-NP	LOC	that	freedom	C
freedom	NN	I-NP	O	U.S	of	NC
of	IN	I-PP	O	freedom	speech	NC
speech	NN	I-NP	O	of	laws	NC
laws	NNS	I-NP	O	speech	meant	NC
meant	VBD	I-VP	O	laws	he	NC
he	PRP	I-NP	O	meant	was	NC
was	VBD	I-VP	O	he	free	NC
free	JJ	I-ADJP	O	was	to	NC
to	TO	I-VP	O	free	produce	NC
produce	VB	I-VP	O	to	his	NC
his	PRP$	I-NP	O	produce	swastika-covered	NC
swastika-covered	JJ	I-NP	O	his	books	NC
books	NNS	I-NP	O	swastika-covered	,	NC
,	,	O	O	books	magazines	NC
magazines	NNS	I-NP	O	,	,	NC
,	,	O	O	magazines	videos	NC
videos	NNS	I-NP	O	,	and	NC
and	CC	I-NP	O	videos	flags	NC
flags	NNS	I-NP	O	and	in	NC
in	IN	I-PP	O	flags	his	NC
his	PRP$	I-NP	O	in	homeland	NC
homeland	NN	I-NP	O	his	.	NC
.	.	O	O	homeland	Interior	NC
Interior	NNP	I-NP	O	.	Minister	C
Minister	NNP	I-NP	O	Interior	Manfred	C
Manfred	NNP	I-NP	PER	Minister	Kanther	C
Kanther	NNP	I-NP	PER	Manfred	said	C
said	VBD	I-VP	O	Kanther	in	NC
in	IN	I-PP	O	said	a	NC
a	DT	I-NP	O	in	statement	NC
statement	NN	I-NP	O	a	he	NC
he	PRP	B-NP	O	statement	""""	NC
""""	""""	O	O	he	welcomed	NC
welcomed	VBD	I-VP	O	""""	the	NC
the	DT	I-NP	O	welcomed	prosecution	NC
prosecution	NN	I-NP	O	the	and	NC
and	CC	I-NP	O	prosecution	conviction	NC
conviction	NN	I-NP	O	and	of	NC
of	IN	I-PP	O	conviction	one	NC
one	CD	I-NP	O	of	of	NC
of	IN	I-PP	O	one	the	NC
the	DT	I-NP	O	of	ringleaders	NC
ringleaders	NNS	I-NP	O	the	of	NC
of	IN	I-PP	O	ringleaders	international	NC
international	JJ	I-NP	O	of	neo-Nazism	NC
neo-Nazism	NN	I-NP	MISC	international	and	NC
and	CC	I-NP	O	neo-Nazism	biggest	NC
biggest	JJS	I-NP	O	and	distributers	NC
distributers	NNS	I-NP	O	biggest	of	NC
of	IN	I-PP	O	distributers	vicious	NC
vicious	JJ	I-NP	O	of	racist	NC
racist	JJ	I-NP	O	vicious	publications	NC
publications	NNS	I-NP	O	racist	""""	NC
""""	""""	O	O	publications	.	NC
.	.	O	O	""""	""""	NC
""""	""""	O	O	.	It	NC
It	PRP	I-NP	O	""""	is	C
is	VBZ	I-VP	O	It	high	NC
high	JJ	I-NP	O	is	time	NC
time	NN	I-NP	O	high	he	NC
he	PRP	B-NP	O	time	was	NC
was	VBD	I-VP	O	he	behind	NC
behind	IN	I-PP	O	was	bars	NC
bars	NNS	I-NP	O	behind	,	NC
,	,	O	O	bars	""""	NC
""""	""""	O	O	,	the	NC
the	DT	I-NP	O	""""	opposition	NC
opposition	NN	I-NP	O	the	Social	NC
Social	NNP	I-NP	MISC	opposition	Democrats	C
Democrats	NNPS	I-NP	MISC	Social	said	C
said	VBD	I-VP	O	Democrats	in	NC
in	IN	I-PP	O	said	a	NC
a	DT	I-NP	O	in	statement	NC
statement	NN	I-NP	O	a	.	NC
.	.	O	O	statement	Lauck	NC
Lauck	NNP	I-NP	PER	.	,	C
,	,	O	O	Lauck	dressed	NC
dressed	VBN	I-VP	O	,	in	NC
in	IN	I-PP	O	dressed	a	NC
a	DT	I-NP	O	in	sober	NC
sober	JJ	I-NP	O	a	blue	NC
blue	JJ	I-NP	O	sober	suit	NC
suit	NN	I-NP	O	blue	and	NC
and	CC	O	O	suit	sporting	NC
sporting	NN	I-NP	O	and	his	NC
his	PRP$	B-NP	O	sporting	trademark	NC
trademark	NN	I-NP	O	his	Hitleresque	NC
Hitleresque	NNP	I-NP	MISC	trademark	black	C
black	JJ	I-NP	O	Hitleresque	moustache	NC
moustache	NN	I-NP	O	black	,	NC
,	,	O	O	moustache	showed	NC
showed	VBD	I-VP	O	,	no	NC
no	DT	I-NP	O	showed	sign	NC
sign	NN	I-NP	O	no	of	NC
of	IN	I-PP	O	sign	emotion	NC
emotion	NN	I-NP	O	of	as	NC
as	IN	I-SBAR	O	emotion	Bertram	NC
Bertram	NNP	I-NP	PER	as	spent	C
spent	VBD	I-VP	O	Bertram	more	NC
more	JJR	I-NP	O	spent	than	NC
than	IN	I-PP	O	more	an	NC
an	DT	I-NP	O	than	hour	NC
hour	NN	I-NP	O	an	reading	NC
reading	VBG	I-VP	O	hour	out	NC
out	RP	I-PRT	O	reading	the	NC
the	DT	I-NP	O	out	verdict	NC
verdict	NN	I-NP	O	the	and	NC
and	CC	O	O	verdict	explaining	NC
explaining	VBG	I-VP	O	and	the	NC
the	DT	I-NP	O	explaining	court	NC
court	NN	I-NP	O	the	's	NC
's	POS	B-NP	O	court	decision	NC
decision	NN	I-NP	O	's	.	NC
.	.	O	O	decision	But	NC
But	CC	O	O	.	as	C
as	IN	I-SBAR	O	But	Lauck	NC
Lauck	NN	I-NP	PER	as	was	C
was	VBD	I-VP	O	Lauck	about	NC
about	IN	I-ADJP	O	was	to	NC
to	TO	I-VP	O	about	be	NC
be	VB	I-VP	O	to	led	NC
led	VBN	I-VP	O	be	away	NC
away	RB	I-ADVP	O	led	,	NC
,	,	O	O	away	he	NC
he	PRP	I-NP	O	,	turned	NC
turned	VBD	I-VP	O	he	to	NC
to	TO	I-PP	O	turned	reporters	NC
reporters	NNS	I-NP	O	to	and	NC
and	CC	O	O	reporters	blurted	NC
blurted	VBD	I-VP	O	and	out	NC
out	RP	I-PRT	O	blurted	a	NC
a	DT	I-NP	O	out	virtually	NC
virtually	RB	I-NP	O	a	incomprehensible	NC
incomprehensible	NN	I-NP	O	virtually	quick-fire	NC
quick-fire	NN	I-NP	O	incomprehensible	diatribe	NC
diatribe	NN	I-NP	O	quick-fire	against	NC
against	IN	I-PP	O	diatribe	the	NC
the	DT	I-NP	O	against	court	NC
court	NN	I-NP	O	the	.	NC
.	.	O	O	court	""""	NC
""""	""""	O	O	.	Neither	NC
Neither	DT	I-NP	O	""""	the	C
the	DT	B-NP	O	Neither	National	NC
National	NNP	I-NP	MISC	the	Socialists	C
Socialists	NNPS	I-NP	MISC	National	(	C
(	(	O	O	Socialists	Nazis	NC
Nazis	NNPS	I-NP	MISC	(	)	C
)	)	O	O	Nazis	nor	NC
nor	CC	O	O	)	the	NC
the	DT	I-NP	O	nor	communists	NC
communists	NNS	I-NP	O	the	dared	NC
dared	VBD	I-VP	O	communists	to	NC
to	TO	I-VP	O	dared	kidnap	NC
kidnap	VB	I-VP	O	to	an	NC
an	DT	I-NP	O	kidnap	American	NC
American	JJ	I-NP	MISC	an	citizen	C
citizen	NN	I-NP	O	American	,	NC
,	,	O	O	citizen	""""	NC
""""	""""	O	O	,	he	NC
he	PRP	I-NP	O	""""	shouted	NC
shouted	VBD	I-VP	O	he	,	NC
,	,	O	O	shouted	in	NC
in	IN	I-PP	O	,	an	NC
an	DT	I-NP	O	in	oblique	NC
oblique	JJ	I-NP	O	an	reference	NC
reference	NN	I-NP	O	oblique	to	NC
to	TO	I-PP	O	reference	his	NC
his	PRP$	I-NP	O	to	extradition	NC
extradition	NN	I-NP	O	his	to	NC
to	TO	I-PP	O	extradition	Germany	NC
Germany	NNP	I-NP	LOC	to	from	C
from	IN	I-PP	O	Germany	Denmark	NC
Denmark	NNP	I-NP	LOC	from	.	C
.	.	I-NP	O	Denmark	""""	NC
""""	""""	O	O	.	That	NC
That	DT	I-NP	O	""""	's	C
's	VBZ	I-VP	O	That	the	NC
the	DT	I-NP	O	's	truth	NC
truth	NN	I-NP	O	the	.	NC
.	.	O	O	truth	""""	NC
""""	""""	O	O	.	His	NC
His	PRP$	I-NP	O	""""	attorney	C
attorney	NN	I-NP	O	His	,	NC
,	,	O	O	attorney	Hans-Otto	NC
Hans-Otto	NNP	I-NP	PER	,	Sieg	C
Sieg	NNP	I-NP	PER	Hans-Otto	,	C
,	,	O	O	Sieg	told	NC
told	VBD	I-VP	O	,	reporters	NC
reporters	NNS	I-NP	O	told	outside	NC
outside	IN	I-PP	O	reporters	the	NC
the	DT	I-NP	O	outside	courtroom	NC
courtroom	NN	I-NP	O	the	that	NC
that	IN	I-SBAR	O	courtroom	the	NC
the	DT	I-NP	O	that	judges	NC
judges	NNS	I-NP	O	the	had	NC
had	VBD	I-VP	O	judges	not	NC
not	RB	I-VP	O	had	explained	NC
explained	VBD	I-VP	O	not	how	NC
how	WRB	I-ADVP	O	explained	a	NC
a	DT	I-NP	O	how	German	NC
German	JJ	I-NP	MISC	a	court	C
court	NN	I-NP	O	German	could	NC
could	MD	I-VP	O	court	judge	NC
judge	VB	I-VP	O	could	someone	NC
someone	NN	I-NP	O	judge	for	NC
for	IN	I-PP	O	someone	actions	NC
actions	NNS	I-NP	O	for	carried	NC
carried	VBD	I-VP	O	actions	out	NC
out	RP	I-PRT	O	carried	in	NC
in	IN	I-PP	O	out	the	NC
the	DT	I-NP	O	in	United	NC
United	NNP	I-NP	LOC	the	States	C
States	NNP	I-NP	LOC	United	.	C
.	.	O	O	States	Bertram	NC
Bertram	NNP	I-NP	PER	.	said	C
said	VBD	I-VP	O	Bertram	Lauck	NC
Lauck	NN	I-NP	PER	said	was	C
was	VBD	I-VP	O	Lauck	obsessed	NC
obsessed	VBN	I-ADJP	O	was	by	NC
by	IN	I-PP	O	obsessed	Nazism	NC
Nazism	NNP	I-NP	MISC	by	and	C
and	CC	O	O	Nazism	devoted	NC
devoted	VBD	I-VP	O	and	his	NC
his	PRP$	I-NP	O	devoted	life	NC
life	NN	I-NP	O	his	to	NC
to	TO	I-PP	O	life	leading	NC
leading	VBG	I-VP	O	to	his	NC
his	PRP$	I-NP	O	leading	National	NC
National	NNP	I-NP	ORG	his	Socialist	C
Socialist	NNP	I-NP	ORG	National	German	C
German	NNP	I-NP	ORG	Socialist	Workers	C
Workers	NNPS	I-NP	ORG	German	'	C
'	POS	B-NP	ORG	Workers	Party	NC
Party	NNP	I-NP	ORG	'	Foreign	C
Foreign	NNP	I-NP	ORG	Party	Organisation	C
Organisation	NNP	I-NP	ORG	Foreign	(	C
(	(	O	O	Organisation	NSDAP-AO	NC
NSDAP-AO	NNP	I-NP	ORG	(	)	C
)	)	O	O	NSDAP-AO	,	NC
,	,	O	O	)	which	NC
which	WDT	I-NP	O	,	derives	NC
derives	VBZ	I-VP	O	which	its	NC
its	PRP$	I-NP	O	derives	name	NC
name	NN	I-NP	O	its	from	NC
from	IN	I-PP	O	name	the	NC
the	DT	I-NP	O	from	full	NC
full	JJ	I-NP	O	the	German	NC
German	JJ	I-NP	MISC	full	title	C
title	NN	I-NP	O	German	of	NC
of	IN	I-PP	O	title	Hitler	NC
Hitler	NNP	I-NP	PER	of	's	C
's	POS	B-NP	O	Hitler	Nazi	NC
Nazi	NNP	I-NP	MISC	's	party	C
party	NN	I-NP	O	Nazi	.	NC
.	.	O	O	party	During	NC
During	IN	I-PP	O	.	the	C
the	DT	I-NP	O	During	three-month	NC
three-month	JJ	I-NP	O	the	trial	NC
trial	NN	I-NP	O	three-month	,	NC
,	,	O	O	trial	the	NC
the	DT	I-NP	O	,	court	NC
court	NN	I-NP	O	the	dealt	NC
dealt	VBN	I-VP	O	court	mainly	NC
mainly	RB	I-ADVP	O	dealt	with	NC
with	IN	I-PP	O	mainly	issues	NC
issues	NNS	I-NP	O	with	of	NC
of	IN	I-PP	O	issues	the	NC
the	DT	I-NP	O	of	NSDAP-AO	NC
NSDAP-AO	NNP	I-NP	ORG	the	's	C
's	POS	I-NP	O	NSDAP-AO	""""	NC
""""	""""	O	O	's	NS	NC
NS	NNP	I-NP	ORG	""""	Kampfruf	C
Kampfruf	NNP	I-NP	ORG	NS	""""	C
""""	""""	O	O	Kampfruf	(	NC
(	(	O	O	""""	""""	NC
""""	""""	O	O	(	National	NC
National	NNP	I-NP	ORG	""""	Socialist	C
Socialist	NNP	I-NP	ORG	National	Battle	C
Battle	NNP	I-NP	ORG	Socialist	Cry	C
Cry	NNP	I-NP	ORG	Battle	""""	C
""""	""""	O	O	Cry	)	NC
)	)	O	O	""""	magazine	NC
magazine	NN	I-NP	O	)	,	NC
,	,	O	O	magazine	filled	NC
filled	VBN	I-VP	O	,	with	NC
with	IN	I-PP	O	filled	references	NC
references	NNS	I-NP	O	with	to	NC
to	TO	I-PP	O	references	Aryan	NC
Aryan	JJ	I-NP	MISC	to	supremacy	C
supremacy	NN	I-NP	O	Aryan	and	NC
and	CC	O	O	supremacy	defamatory	NC
defamatory	JJ	I-NP	O	and	statements	NC
statements	NNS	I-NP	O	defamatory	about	NC
about	IN	I-PP	O	statements	Jews	NC
Jews	NNPS	I-NP	MISC	about	.	C
.	.	O	O	Jews	The	NC
The	DT	I-NP	O	.	court	C
court	NN	I-NP	O	The	rejected	NC
rejected	VBD	I-VP	O	court	Sieg	NC
Sieg	NNP	I-NP	PER	rejected	's	C
's	POS	B-NP	O	Sieg	argument	NC
argument	NN	I-NP	O	's	that	NC
that	IN	I-SBAR	O	argument	Lauck	NC
Lauck	NNP	I-NP	PER	that	's	C
's	POS	B-NP	O	Lauck	extradition	NC
extradition	NN	I-NP	O	's	from	NC
from	IN	I-PP	O	extradition	Denmark	NC
Denmark	NNP	I-NP	LOC	from	,	C
,	,	O	O	Denmark	where	NC
where	WRB	I-ADVP	O	,	he	NC
he	PRP	I-NP	O	where	was	NC
was	VBD	I-VP	O	he	arrested	NC
arrested	VBN	I-VP	O	was	in	NC
in	IN	I-PP	O	arrested	March	NC
March	NNP	I-NP	O	in	last	C
last	JJ	B-NP	O	March	year	NC
year	NN	I-NP	O	last	at	NC
at	IN	I-PP	O	year	the	NC
the	DT	I-NP	O	at	request	NC
request	NN	I-NP	O	the	of	NC
of	IN	I-PP	O	request	German	NC
German	JJ	I-NP	MISC	of	authorities	C
authorities	NNS	I-NP	O	German	,	NC
,	,	O	O	authorities	was	NC
was	VBD	I-VP	O	,	illegal	NC
illegal	JJ	I-ADJP	O	was	.	NC
.	.	O	O	illegal	Lauck	NC
Lauck	NN	I-NP	PER	.	was	C
was	VBD	I-VP	O	Lauck	also	NC
also	RB	I-VP	O	was	convicted	NC
convicted	VBN	I-VP	O	also	of	NC
of	IN	I-PP	O	convicted	disseminating	NC
disseminating	VBG	I-VP	O	of	the	NC
the	DT	I-NP	O	disseminating	symbols	NC
symbols	NNS	I-NP	O	the	of	NC
of	IN	I-PP	O	symbols	anti-constitutional	NC
anti-constitutional	JJ	I-NP	O	of	organisations	NC
organisations	NNS	I-NP	O	anti-constitutional	.	NC
.	.	O	O	organisations	He	NC
