token	pos	chunk	NER	previous	following	capitals
BNP	NNP	I-NP	ORG	the	,	C
,	,	O	O	BNP	headed	NC
headed	VBN	I-VP	O	,	by	NC
by	IN	I-PP	O	headed	former	NC
former	JJ	I-NP	O	by	prime	NC
prime	JJ	I-NP	O	former	minister	NC
minister	NN	I-NP	O	prime	Begum	NC
Begum	NNP	I-NP	PER	minister	Khaleda	C
Khaleda	NNP	I-NP	PER	Begum	Zia	C
Zia	NNP	I-NP	PER	Khaleda	.	C
.	.	O	O	Zia	Hasina	NC
Hasina	NNP	I-NP	PER	.	told	C
told	VBD	I-VP	O	Hasina	police	NC
police	NN	I-NP	O	told	the	NC
the	DT	B-NP	O	police	home	NC
home	NN	I-NP	O	the	ministry	NC
ministry	NN	I-NP	O	home	had	NC
had	VBD	I-VP	O	ministry	already	NC
already	RB	I-VP	O	had	given	NC
given	VBN	I-VP	O	already	a	NC
a	DT	I-NP	O	given	""""	NC
""""	""""	O	O	a	blanket	NC
blanket	NN	I-NP	O	""""	order	NC
order	NN	I-NP	O	blanket	""""	NC
""""	""""	O	O	order	to	NC
to	TO	I-VP	O	""""	arrest	NC
arrest	VB	I-VP	O	to	terrorists	NC
terrorists	NNS	I-NP	O	arrest	and	NC
and	CC	O	O	terrorists	possessors	NC
possessors	NNS	I-NP	O	and	of	NC
of	IN	I-PP	O	possessors	illegal	NC
illegal	JJ	I-NP	O	of	firearms	NC
firearms	NNS	I-NP	O	illegal	irrespective	NC
irrespective	RB	I-ADVP	O	firearms	of	NC
of	IN	I-PP	O	irrespective	their	NC
their	PRP$	I-NP	O	of	political	NC
political	JJ	I-NP	O	their	identities	NC
identities	NNS	I-NP	O	political	.	NC
.	.	O	O	identities	Nearly	NC
Nearly	RB	I-NP	O	.	100	C
100	CD	I-NP	O	Nearly	students	NC
students	NNS	I-NP	O	100	have	NC
have	VBP	I-VP	O	students	been	NC
been	VBN	I-VP	O	have	injured	NC
injured	VBN	I-VP	O	been	in	NC
in	IN	I-PP	O	injured	the	NC
the	DT	I-NP	O	in	clashes	NC
clashes	NNS	I-NP	O	the	in	NC
in	IN	I-PP	O	clashes	Dhaka	NC
Dhaka	NN	I-NP	LOC	in	and	C
and	CC	O	O	Dhaka	Bogra	NC
Bogra	NNP	I-NP	LOC	and	,	C
,	,	I-NP	O	Bogra	police	NC
police	NN	I-NP	O	,	told	NC
told	VBD	I-VP	O	police	reporters	NC
reporters	NNS	I-NP	O	told	.	NC
.	.	O	O	reporters	16	NC
16	CD	I-NP	O	.	die	NC
die	VBP	I-VP	O	16	as	NC
as	IN	I-PP	O	die	bus	NC
bus	NN	I-NP	O	as	crashes	NC
crashes	NNS	I-NP	O	bus	in	NC
in	IN	I-PP	O	crashes	Pakistani	NC
Pakistani	NNP	I-NP	LOC	in	Kashmir	C
Kashmir	NNP	I-NP	LOC	Pakistani	.	C
.	.	O	O	Kashmir	MUZAFFARABAD	NC
MUZAFFARABAD	NNP	I-NP	LOC	.	,	C
,	,	O	O	MUZAFFARABAD	Pakistan	NC
Pakistan	NNP	I-NP	LOC	,	1996-08-25	C
1996-08-25	CD	I-NP	O	Pakistan	At	NC
At	IN	I-NP	O	1996-08-25	least	C
least	JJS	I-NP	O	At	16	NC
16	CD	I-NP	O	least	people	NC
people	NNS	I-NP	O	16	were	NC
were	VBD	I-VP	O	people	killed	NC
killed	VBN	I-VP	O	were	and	NC
and	CC	O	O	killed	several	NC
several	JJ	I-NP	O	and	injured	NC
injured	JJ	I-NP	O	several	on	NC
on	IN	I-PP	O	injured	Sunday	NC
Sunday	NNP	I-NP	O	on	when	C
when	WRB	I-ADVP	O	Sunday	a	NC
a	DT	I-NP	O	when	bus	NC
bus	NN	I-NP	O	a	fell	NC
fell	VBD	I-VP	O	bus	from	NC
from	IN	I-PP	O	fell	a	NC
a	DT	I-NP	O	from	mountain	NC
mountain	NN	I-NP	O	a	road	NC
road	NN	I-NP	O	mountain	into	NC
into	IN	I-PP	O	road	a	NC
a	DT	I-NP	O	into	ravine	NC
ravine	NN	I-NP	O	a	on	NC
on	IN	I-PP	O	ravine	a	NC
a	DT	I-NP	O	on	river	NC
river	NN	I-NP	O	a	bank	NC
bank	NN	I-NP	O	river	in	NC
in	IN	I-PP	O	bank	Pakistan-ruled	NC
Pakistan-ruled	JJ	I-NP	MISC	in	Azad	C
Azad	NN	I-NP	LOC	Pakistan-ruled	(	C
(	(	O	LOC	Azad	free	NC
free	JJ	O	LOC	(	)	NC
)	)	O	LOC	free	Kashmir	NC
Kashmir	NNP	I-NP	LOC	)	,	C
,	,	O	O	Kashmir	police	NC
police	NNS	I-NP	O	,	said	NC
said	VBD	I-VP	O	police	.	NC
.	.	O	O	said	They	NC
They	PRP	I-NP	O	.	said	C
said	VBD	I-VP	O	They	14	NC
14	CD	I-NP	O	said	out	NC
out	IN	I-PP	O	14	of	NC
of	IN	B-PP	O	out	45	NC
45	CD	I-NP	O	of	passengers	NC
passengers	NNS	I-NP	O	45	on	NC
on	IN	I-PP	O	passengers	the	NC
the	DT	I-NP	O	on	bus	NC
bus	NN	I-NP	O	the	died	NC
died	VBD	I-VP	O	bus	instantly	NC
instantly	RB	I-ADVP	O	died	when	NC
when	WRB	B-ADVP	O	instantly	the	NC
the	DT	I-NP	O	when	vehicle	NC
vehicle	NN	I-NP	O	the	fell	NC
fell	VBD	I-VP	O	vehicle	from	NC
from	IN	I-PP	O	fell	the	NC
the	DT	I-NP	O	from	narrow	NC
narrow	JJ	I-NP	O	the	road	NC
road	NN	I-NP	O	narrow	while	NC
while	NN	O	O	road	on	NC
on	IN	I-PP	O	while	its	NC
its	PRP$	I-NP	O	on	way	NC
way	NN	I-NP	O	its	from	NC
from	IN	I-PP	O	way	the	NC
the	DT	I-NP	O	from	state	NC
state	NN	I-NP	O	the	capital	NC
capital	NN	I-NP	O	state	Muzaffarabad	NC
Muzaffarabad	NNP	I-NP	LOC	capital	to	C
to	TO	I-PP	O	Muzaffarabad	the	NC
the	DT	I-NP	O	to	nearby	NC
nearby	JJ	I-NP	O	the	Pakistani	NC
Pakistani	JJ	I-NP	MISC	nearby	town	C
town	NN	I-NP	O	Pakistani	of	NC
of	IN	I-PP	O	town	Garhi	NC
Garhi	NNP	I-NP	LOC	of	Habibullah	C
Habibullah	NNP	I-NP	LOC	Garhi	in	C
in	IN	I-PP	O	Habibullah	the	NC
the	DT	I-NP	O	in	northwest	NC
northwest	JJS	I-NP	O	the	.	NC
.	.	O	O	northwest	Two	NC
Two	NN	I-NP	O	.	died	C
died	VBD	I-VP	O	Two	later	NC
later	RB	I-ADVP	O	died	in	NC
in	IN	I-PP	O	later	hospital	NC
hospital	NN	I-NP	O	in	.	NC
.	.	O	O	hospital	FEATURE	NC
FEATURE	VB	I-VP	O	.	-	C
-	:	O	O	FEATURE	Fertile	NC
Fertile	NNP	I-NP	O	-	Ukraine	C
Ukraine	NNP	I-NP	LOC	Fertile	faces	C
faces	VBZ	I-VP	O	Ukraine	drought	NC
drought	NN	I-NP	O	faces	of	NC
of	IN	I-PP	O	drought	cash	NC
cash	NN	I-NP	O	of	and	NC
and	CC	I-NP	O	cash	rain	NC
rain	NN	I-NP	O	and	.	NC
.	.	O	O	rain	Irene	NC
Irene	NNP	I-NP	PER	.	Marushko	C
Marushko	NNP	I-NP	PER	Irene	BATKIVSHCHYNA	C
BATKIVSHCHYNA	NNP	I-NP	LOC	Marushko	COLLECTIVE	C
COLLECTIVE	NNP	I-NP	LOC	BATKIVSHCHYNA	FARM	C
FARM	NN	I-NP	LOC	COLLECTIVE	,	C
,	,	O	O	FARM	Ukraine	NC
Ukraine	NNP	I-NP	LOC	,	1996-08-26	C
1996-08-26	CD	I-NP	O	Ukraine	Four	NC
Four	CD	I-NP	O	1996-08-26	shiny	C
shiny	JJ	I-NP	O	Four	new	NC
new	JJ	I-NP	O	shiny	green-and-yellow	NC
green-and-yellow	JJ	I-NP	O	new	John	NC
John	NNP	I-NP	PER	green-and-yellow	Deere	C
Deere	NNP	I-NP	PER	John	combines	C
combines	VBZ	I-VP	O	Deere	parked	NC
parked	VBN	I-VP	O	combines	at	NC
at	IN	I-PP	O	parked	this	NC
this	DT	I-NP	O	at	1,750-hectare	NC
1,750-hectare	JJ	I-NP	O	this	(	NC
(	(	O	O	1,750-hectare	4,325-acre	NC
4,325-acre	JJ	I-NP	O	(	)	NC
)	)	I-NP	O	4,325-acre	farm	NC
farm	NN	I-NP	O	)	in	NC
in	IN	I-PP	O	farm	the	NC
the	DT	I-NP	O	in	grain-growing	NC
grain-growing	NN	I-NP	O	the	regions	NC
regions	NNS	I-NP	O	grain-growing	south	NC
south	RB	I-ADVP	O	regions	of	NC
of	IN	I-PP	O	south	Kiev	NC
Kiev	NNP	I-NP	LOC	of	do	C
do	VBP	I-VP	O	Kiev	n't	NC
n't	RB	I-VP	O	do	fill	NC
fill	VB	I-VP	O	n't	its	NC
its	PRP$	I-NP	O	fill	chief	NC
chief	JJ	I-NP	O	its	agronomist	NC
agronomist	NN	I-NP	O	chief	with	NC
with	IN	I-PP	O	agronomist	enthusiasm	NC
enthusiasm	NN	I-NP	O	with	.	NC
.	.	O	O	enthusiasm	""""	NC
""""	""""	O	O	.	They	NC
They	PRP	I-NP	O	""""	did	C
did	VBD	I-VP	O	They	a	NC
a	DT	I-NP	O	did	good	NC
good	JJ	I-NP	O	a	job	NC
job	NN	I-NP	O	good	this	NC
this	DT	B-NP	O	job	year	NC
year	NN	I-NP	O	this	,	NC
,	,	O	O	year	but	NC
but	CC	O	O	,	they	NC
they	PRP	I-NP	O	but	need	NC
need	VBP	I-VP	O	they	good	NC
good	JJ	I-NP	O	need	diesel	NC
diesel	NN	I-NP	O	good	and	NC
and	CC	O	O	diesel	good	NC
good	JJ	I-NP	O	and	engine	NC
engine	NN	I-NP	O	good	oil	NC
oil	NN	I-NP	O	engine	,	NC
,	,	O	O	oil	""""	NC
""""	""""	O	O	,	said	NC
said	VBD	I-VP	O	""""	Ivan	NC
Ivan	NNP	I-NP	PER	said	Odnosum	C
Odnosum	NNP	I-NP	PER	Ivan	.	C
.	.	I-NP	O	Odnosum	""""	NC
""""	""""	O	O	.	God	NC
God	NNP	I-NP	PER	""""	help	C
help	VB	I-VP	O	God	us	NC
us	PRP	I-NP	O	help	if	NC
if	IN	I-SBAR	O	us	there	NC
there	EX	I-NP	O	if	is	NC
is	VBZ	I-VP	O	there	a	NC
a	DT	I-NP	O	is	breakdown	NC
breakdown	NN	I-NP	O	a	,	NC
,	,	O	O	breakdown	""""	NC
""""	""""	O	O	,	he	NC
he	PRP	I-NP	O	""""	said	NC
said	VBD	I-VP	O	he	of	NC
of	IN	I-PP	O	said	the	NC
the	DT	I-NP	O	of	machinery	NC
machinery	NN	I-NP	O	the	,	NC
,	,	O	O	machinery	loaned	NC
loaned	VBD	I-VP	O	,	to	NC
to	TO	I-PP	O	loaned	the	NC
the	DT	I-NP	O	to	farm	NC
farm	NN	I-NP	O	the	after	NC
after	IN	I-PP	O	farm	the	NC
the	DT	I-NP	O	after	Ukrainian	NC
Ukrainian	NNP	I-NP	MISC	the	government	C
government	NN	I-NP	O	Ukrainian	bought	NC
bought	VBD	I-VP	O	government	it	NC
it	PRP	I-NP	O	bought	earlier	NC
earlier	RBR	B-NP	O	it	this	NC
this	DT	I-NP	O	earlier	year	NC
year	NN	I-NP	O	this	.	NC
.	.	O	O	year	The	NC
The	DT	I-NP	O	.	country	C
country	NN	I-NP	O	The	's	NC
's	POS	B-NP	O	country	grain	NC
grain	NN	I-NP	O	's	harvest	NC
harvest	NN	I-NP	O	grain	this	NC
this	DT	B-NP	O	harvest	year	NC
year	NN	I-NP	O	this	is	NC
is	VBZ	I-VP	O	year	forecast	NC
forecast	VBN	I-VP	O	is	to	NC
to	TO	I-VP	O	forecast	fall	NC
fall	VB	I-VP	O	to	by	NC
by	IN	I-PP	O	fall	more	NC
more	JJR	I-NP	O	by	than	NC
than	IN	I-NP	O	more	23	NC
23	CD	I-NP	O	than	percent	NC
percent	NN	I-NP	O	23	to	NC
to	TO	I-PP	O	percent	only	NC
only	RB	I-NP	O	to	28	NC
28	CD	I-NP	O	only	million	NC
million	CD	I-NP	O	28	tonnes	NC
tonnes	NNS	I-NP	O	million	and	NC
and	CC	O	O	tonnes	two	NC
two	CD	I-NP	O	and	harsh	NC
harsh	JJ	I-NP	O	two	factors	NC
factors	NNS	I-NP	O	harsh	are	NC
are	VBP	I-VP	O	factors	to	NC
to	TO	I-VP	O	are	blame	NC
blame	VB	I-VP	O	to	.	NC
.	.	O	O	blame	A	NC
A	DT	I-NP	O	.	drought	C
drought	NN	I-NP	O	A	scoured	NC
scoured	VBN	I-VP	O	drought	the	NC
the	DT	I-NP	O	scoured	steppes	NC
steppes	NNS	I-NP	O	the	in	NC
in	IN	I-PP	O	steppes	May	NC
May	NNP	I-NP	O	in	and	C
and	CC	I-NP	O	May	June	NC
June	NNP	I-NP	O	and	,	C
,	,	O	O	June	stunting	NC
stunting	VBG	I-VP	O	,	the	NC
the	DT	I-NP	O	stunting	growing	NC
growing	VBG	I-NP	O	the	wheat	NC
wheat	NN	I-NP	O	growing	.	NC
.	.	O	O	wheat	And	NC
And	CC	O	O	.	the	C
the	DT	I-NP	O	And	farming	NC
farming	VBG	I-NP	O	the	sector	NC
sector	NN	I-NP	O	farming	,	NC
,	,	O	O	sector	making	NC
making	VBG	I-VP	O	,	the	NC
the	DT	I-NP	O	making	painful	NC
painful	JJ	I-NP	O	the	transition	NC
transition	NN	I-NP	O	painful	from	NC
from	IN	I-PP	O	transition	Soviet	NC
Soviet	JJ	I-NP	MISC	from	central	C
central	JJ	I-NP	O	Soviet	planning	NC
planning	NN	I-NP	O	central	to	NC
to	TO	I-PP	O	planning	a	NC
a	DT	I-NP	O	to	market	NC
market	NN	I-NP	O	a	economy	NC
economy	NN	I-NP	O	market	simply	NC
simply	RB	I-ADVP	O	economy	has	NC
has	VBZ	I-VP	O	simply	no	NC
no	DT	I-NP	O	has	money	NC
money	NN	I-NP	O	no	.	NC
.	.	O	O	money	Ukraine	NC
Ukraine	NNP	I-NP	LOC	.	's	C
's	POS	B-NP	O	Ukraine	black	NC
black	JJ	I-NP	O	's	soil	NC
soil	NN	I-NP	O	black	is	NC
is	VBZ	I-VP	O	soil	so	NC
so	RB	I-ADJP	O	is	fertile	NC
fertile	JJ	I-ADJP	O	so	that	NC
that	IN	I-SBAR	O	fertile	a	NC
a	DT	I-NP	O	that	diplomat	NC
diplomat	NN	I-NP	O	a	described	NC
described	VBD	I-VP	O	diplomat	it	NC
it	PRP	I-NP	O	described	as	NC
as	IN	I-PP	O	it	""""	NC
""""	""""	O	O	as	rich	NC
